id,run_id,alias_id,parent_alias_id,alias,alias_type,url,last_updated_date
1673,41,12,282,ARMS Farm Financial and Crop Production Practices,alias,,1/25/2024 9:09:31 AM
1674,41,21,282,Agricultural Resource Management Survey,alias,,1/25/2024 9:09:31 AM
1675,41,46,282,Agricultural Resources Management Survey,alias,,1/25/2024 9:09:31 AM
1676,41,87,89,Census of Agriculture,alias,,1/25/2024 9:09:31 AM
1677,41,88,89,USDA Census of Agriculture,alias,,1/25/2024 9:09:31 AM
1678,41,89,89,NASS Census of Agriculture,main,,1/25/2024 9:09:31 AM
1679,41,279,89,Agricultural Census,alias,,1/25/2024 9:09:31 AM
1680,41,280,89,USDA Census,alias,,1/25/2024 9:09:31 AM
1681,41,281,89,AG Census,alias,,1/25/2024 9:09:31 AM
1682,41,282,282,Agricultural Resource Management Survey (ARMS),main,,1/25/2024 9:09:31 AM
1683,41,283,282,Farm Financial and Crop Production Practices (ERS),alias,,1/25/2024 9:09:31 AM
1684,41,284,282,Farm Income and Financial Forecast (ERS),alias,,1/25/2024 9:09:31 AM
1685,41,285,282,Farm Household Income and Characteristics (ERS),alias,,1/25/2024 9:09:31 AM
1686,41,286,282,Farm Income and Wealth Statistics (ERS),alias,,1/25/2024 9:09:31 AM
1687,41,287,282,Farm Production Expenditures (NASS),alias,,1/25/2024 9:09:31 AM
1688,41,288,282,Agricultural Resource Management Study,alias,,1/25/2024 9:09:31 AM
1689,41,289,282,Agricultural Resources Management Study,alias,,1/25/2024 9:09:31 AM
14975,41,1000001,1000001,Estimating Market Implications From Corn and Soybean Yields Under Climate Change in the United States,Main,,1/25/2024 9:09:31 AM
14976,41,1000010,1000010,Sugar and Sweeteners Outlook,Main,,1/25/2024 9:09:31 AM
14977,41,1000100,1000100,"Global Food Insecurity Grows in 2022 Amid Backdrop of Higher Prices, Black Sea Conflict",Main,,1/25/2024 9:09:31 AM
14978,41,1001000,1001000,USDA’s Karnal Bunt Regulatory Program Protects U.S. Wheat Exports,Main,,1/25/2024 9:09:31 AM
14979,41,1001001,1001001,Varied Interests Drive Growing Popularity of Local Foods,Main,,1/25/2024 9:09:31 AM
14980,41,1001002,1001002,WIC Infants Less Likely To Be Exclusively Breastfed,Main,,1/25/2024 9:09:31 AM
14981,41,1001003,1001003,"RIDGE Project Summaries, 2009: Food Assistance and Nutrition Research Innovation and Development Grants in Economics Program",Main,,1/25/2024 9:09:31 AM
14982,41,1001004,1001004,Cow-Calf Beef Production in Mexico,Main,,1/25/2024 9:09:31 AM
14983,41,1001005,1001005,"Nonmetropolitan Outmigration Counties: Some Are Poor, Many Are Prosperous",Main,,1/25/2024 9:09:31 AM
14984,41,1001006,1001006,The U.S. Produce Industry and Labor: Facing the Future in a Global Economy,Main,,1/25/2024 9:09:31 AM
14985,41,1001007,1001007,Canned Fruit and Vegetable Consumption in the United States: An Updated Report to Congress,Main,,1/25/2024 9:09:31 AM
14986,41,1001008,1001008,The Dodd-Frank Wall Street Reform and Consumer Protection Act: Changes to the Regulation of Derivatives and their Impact on Agribusiness,Main,,1/25/2024 9:09:31 AM
14987,41,1001009,1001009,\No-Till\ Farming Is a Growing Practice,Main,,1/25/2024 9:09:31 AM
14988,41,1000101,1000101,"Organic Dairy and Beef Producers Face Limited Markets, Feed Grain Shortages",Main,,1/25/2024 9:09:31 AM
14989,41,1001010,1001010,School Foodservice Costs: Location Matters,Main,,1/25/2024 9:09:31 AM
14990,41,1001011,1001011,Cattle Sector Production Practices and Regional Price Differences,Main,,1/25/2024 9:09:31 AM
14991,41,1001012,1001012,Food Security Improved Following the 2009 ARRA Increase in SNAP Benefits,Main,,1/25/2024 9:09:31 AM
14992,41,1001013,1001013,Consolidation and Structural Change in the U.S. Rice Sector,Main,,1/25/2024 9:09:31 AM
14993,41,1001014,1001014,Selected Trade Agreements and Implications for U.S. Agriculture,Main,,1/25/2024 9:09:31 AM
14994,41,1001015,1001015,Reciprocal Trade Agreements: Impacts on Bilateral Trade Expansion and Contraction in the World Agricultural Marketplace,Main,,1/25/2024 9:09:31 AM
14995,41,1001016,1001016,Changes in Access to Healthy Foods after Implementation of the WIC Food Package Revisions,Main,,1/25/2024 9:09:31 AM
14996,41,1001017,1001017,Classifying and Measuring Agricultural Support: Identifying Differences Between the WTO and OECD Systems,Main,,1/25/2024 9:09:31 AM
14997,41,1001018,1001018,NAFTA at 17: Full Implementation Leads to Increased Trade and Integration,Main,,1/25/2024 9:09:31 AM
14998,41,1001019,1001019,The Diverse Structure and Organization of U.S. Beef Cow-Calf Farms,Main,,1/25/2024 9:09:31 AM
14999,41,1000102,1000102,Study Examines How and Where U.S. Cow-Calf Operations Use Rotational Grazing,Main,,1/25/2024 9:09:31 AM
15000,41,1001020,1001020,International Evidence on Food Consumption Patterns: An Update Using 2005 International Comparison Program Data,Main,,1/25/2024 9:09:31 AM
15001,41,1001021,1001021,Americans Can Satisfy Dietary Guidelines for Vegetables and Fruit for Under $2.50 Per Day,Main,,1/25/2024 9:09:31 AM
