id,run_id,dyad_id,model_id,score,last_updated_date
4928,41,2569,1,2.0,1/25/2024 9:10:16 AM
4929,41,2569,4,1.0,1/25/2024 9:10:16 AM
4930,41,2569,2,1.0,1/25/2024 9:10:16 AM
4931,41,2569,3,0.996,1/25/2024 9:10:16 AM
4936,41,2573,1,3.0,1/25/2024 9:10:16 AM
4937,41,2573,2,1.0,1/25/2024 9:10:16 AM
4938,41,2573,4,1.0,1/25/2024 9:10:16 AM
4939,41,2573,3,0.996,1/25/2024 9:10:16 AM
4940,41,2574,1,3.0,1/25/2024 9:10:16 AM
4941,41,2574,4,1.0,1/25/2024 9:10:16 AM
4942,41,2574,3,0.996,1/25/2024 9:10:16 AM
4943,41,2575,1,1.0,1/25/2024 9:10:16 AM
4944,41,2575,3,0.998,1/25/2024 9:10:16 AM
4945,41,2575,4,0.479,1/25/2024 9:10:16 AM
4946,41,2575,2,0.479,1/25/2024 9:10:16 AM
4949,41,2577,1,2.0,1/25/2024 9:10:16 AM
4950,41,2577,2,1.0,1/25/2024 9:10:16 AM
4951,41,2577,3,1.0,1/25/2024 9:10:16 AM
4956,41,2580,1,1.0,1/25/2024 9:10:16 AM
4957,41,2580,2,1.0,1/25/2024 9:10:16 AM
4958,41,2580,4,1.0,1/25/2024 9:10:16 AM
4959,41,2580,3,0.996,1/25/2024 9:10:16 AM
4964,41,2582,1,3.0,1/25/2024 9:10:16 AM
4965,41,2582,4,1.0,1/25/2024 9:10:16 AM
4966,41,2582,3,0.997,1/25/2024 9:10:16 AM
4967,41,2582,2,0.632,1/25/2024 9:10:16 AM
4968,41,2583,1,1.0,1/25/2024 9:10:16 AM
4969,41,2584,1,1.0,1/25/2024 9:10:16 AM
4970,41,2584,3,0.998,1/25/2024 9:10:16 AM
4971,41,2584,2,0.438,1/25/2024 9:10:16 AM
4972,41,2584,4,0.167,1/25/2024 9:10:16 AM
4973,41,2585,1,3.0,1/25/2024 9:10:16 AM
4974,41,2585,2,1.0,1/25/2024 9:10:16 AM
4975,41,2585,3,0.996,1/25/2024 9:10:16 AM
4977,41,2587,4,1.0,1/25/2024 9:10:16 AM
4978,41,2587,1,1.0,1/25/2024 9:10:16 AM
4979,41,2587,3,0.996,1/25/2024 9:10:16 AM
4982,41,2590,1,1.0,1/25/2024 9:10:16 AM
4983,41,2590,4,1.0,1/25/2024 9:10:16 AM
4984,41,2590,3,0.996,1/25/2024 9:10:16 AM
4996,41,2595,1,3.0,1/25/2024 9:10:16 AM
4997,41,2595,2,1.0,1/25/2024 9:10:16 AM
4998,41,2595,3,1.0,1/25/2024 9:10:16 AM
5001,41,2598,1,1.0,1/25/2024 9:10:16 AM
5002,41,2598,3,0.996,1/25/2024 9:10:16 AM
5003,41,2598,2,0.6,1/25/2024 9:10:16 AM
5004,41,2598,4,0.6,1/25/2024 9:10:16 AM
5007,41,2600,1,3.0,1/25/2024 9:10:16 AM
5008,41,2600,4,1.0,1/25/2024 9:10:16 AM
5009,41,2600,2,1.0,1/25/2024 9:10:16 AM
5010,41,2600,3,0.997,1/25/2024 9:10:16 AM
5023,41,2605,1,1.0,1/25/2024 9:10:16 AM
5024,41,2605,3,0.992,1/25/2024 9:10:16 AM
5025,41,2605,2,0.992,1/25/2024 9:10:16 AM
5032,41,2609,4,1.0,1/25/2024 9:10:16 AM
5033,41,2609,2,1.0,1/25/2024 9:10:16 AM
5034,41,2609,1,1.0,1/25/2024 9:10:16 AM
5035,41,2609,3,0.996,1/25/2024 9:10:16 AM
5050,41,2615,1,2.0,1/25/2024 9:10:16 AM
5051,41,2616,1,2.0,1/25/2024 9:10:16 AM
5052,41,2616,2,1.0,1/25/2024 9:10:16 AM
5053,41,2616,4,1.0,1/25/2024 9:10:16 AM
5054,41,2616,3,0.996,1/25/2024 9:10:16 AM
5057,41,2618,1,2.0,1/25/2024 9:10:16 AM
5058,41,2618,3,0.996,1/25/2024 9:10:16 AM
5061,41,2620,1,1.0,1/25/2024 9:10:16 AM
5062,41,2620,4,1.0,1/25/2024 9:10:16 AM
5067,41,2622,1,3.0,1/25/2024 9:10:16 AM
5068,41,2622,2,1.0,1/25/2024 9:10:16 AM
5069,41,2622,3,0.996,1/25/2024 9:10:16 AM
5072,41,2624,1,1.0,1/25/2024 9:10:16 AM
5073,41,2624,4,1.0,1/25/2024 9:10:16 AM
5074,41,2624,2,1.0,1/25/2024 9:10:16 AM
5075,41,2624,3,0.996,1/25/2024 9:10:16 AM
5082,41,2628,1,1.0,1/25/2024 9:10:16 AM
5083,41,2628,2,1.0,1/25/2024 9:10:16 AM
5084,41,2628,4,1.0,1/25/2024 9:10:16 AM
5085,41,2628,3,0.996,1/25/2024 9:10:16 AM
5092,41,2631,1,1.0,1/25/2024 9:10:16 AM
5093,41,2631,4,1.0,1/25/2024 9:10:16 AM
5094,41,2631,3,0.996,1/25/2024 9:10:16 AM
5099,41,2634,1,1.0,1/25/2024 9:10:16 AM
5100,41,2634,3,0.996,1/25/2024 9:10:16 AM
5106,41,2638,1,3.0,1/25/2024 9:10:16 AM
5107,41,2638,2,1.0,1/25/2024 9:10:16 AM
5108,41,2638,3,0.996,1/25/2024 9:10:16 AM
5112,41,2641,1,4.0,1/25/2024 9:10:16 AM
5113,41,2642,4,1.0,1/25/2024 9:10:16 AM
5114,41,2642,1,1.0,1/25/2024 9:10:16 AM
5115,41,2642,2,1.0,1/25/2024 9:10:16 AM
5116,41,2642,3,0.996,1/25/2024 9:10:16 AM
5124,41,2647,1,3.0,1/25/2024 9:10:16 AM
5125,41,2647,3,1.0,1/25/2024 9:10:16 AM
5135,41,2653,1,3.0,1/25/2024 9:10:16 AM
5136,41,2653,3,0.998,1/25/2024 9:10:16 AM
5144,41,2657,1,2.0,1/25/2024 9:10:16 AM
5149,41,2661,1,1.0,1/25/2024 9:10:16 AM
5150,41,2661,4,0.412,1/25/2024 9:10:16 AM
5151,41,2662,1,3.0,1/25/2024 9:10:16 AM
5152,41,2662,2,1.0,1/25/2024 9:10:16 AM
