id,name,github_commit_url,description,last_updated_date
1,string_matching,,,1/24/2024 5:41:03 PM
2,model1,,,1/24/2024 5:41:03 PM
3,model2,,,1/24/2024 5:41:03 PM
4,model3,,,1/24/2024 5:41:03 PM
5,refmatch,,,1/24/2024 5:41:03 PM
6,gm1,,,1/24/2024 5:41:03 PM
7,km1_roberta,,,1/24/2024 5:41:03 PM
8,km1_scibert,,,1/24/2024 5:41:03 PM
9,km2,,,1/24/2024 5:41:03 PM
10,km2_new,,,1/24/2024 5:41:03 PM
11,km3,,,1/24/2024 5:41:03 PM
12,ner,,,1/24/2024 5:41:03 PM
13,regx,,,1/24/2024 5:41:03 PM
14,new_model4_ner,,,1/24/2024 5:41:03 PM
