id,run_id,publication_id,asjc_id,last_updated_date
729509,41,323504,618,1/24/2024 5:40:50 PM
729510,41,323504,625,1/24/2024 5:40:50 PM
729514,41,322105,548,1/24/2024 5:40:50 PM
729515,41,322105,623,1/24/2024 5:40:50 PM
729517,41,322481,568,1/24/2024 5:40:50 PM
729520,41,321660,539,1/24/2024 5:40:50 PM
729521,41,321660,555,1/24/2024 5:40:50 PM
729522,41,323047,368,1/24/2024 5:40:50 PM
729523,41,323047,539,1/24/2024 5:40:50 PM
729527,41,323605,440,1/24/2024 5:40:50 PM
729528,41,323605,616,1/24/2024 5:40:50 PM
729534,41,322014,544,1/24/2024 5:40:50 PM
729539,41,321668,533,1/24/2024 5:40:50 PM
729543,41,322406,526,1/24/2024 5:40:50 PM
729549,41,321652,532,1/24/2024 5:40:50 PM
729550,41,321652,545,1/24/2024 5:40:50 PM
729551,41,321652,556,1/24/2024 5:40:50 PM
729552,41,321892,473,1/24/2024 5:40:50 PM
729553,41,321892,622,1/24/2024 5:40:50 PM
729554,41,321892,637,1/24/2024 5:40:50 PM
729556,41,322100,555,1/24/2024 5:40:50 PM
729558,41,321792,465,1/24/2024 5:40:50 PM
729559,41,321792,617,1/24/2024 5:40:50 PM
729563,41,323662,617,1/24/2024 5:40:50 PM
729565,41,323664,617,1/24/2024 5:40:50 PM
729566,41,321837,461,1/24/2024 5:40:50 PM
729567,41,321837,520,1/24/2024 5:40:50 PM
729568,41,321837,628,1/24/2024 5:40:50 PM
729569,41,323395,551,1/24/2024 5:40:50 PM
729570,41,323395,625,1/24/2024 5:40:50 PM
729574,41,322046,510,1/24/2024 5:40:50 PM
729575,41,322046,548,1/24/2024 5:40:50 PM
729576,41,322046,584,1/24/2024 5:40:50 PM
729578,41,323183,472,1/24/2024 5:40:50 PM
729579,41,323183,475,1/24/2024 5:40:50 PM
729580,41,323183,548,1/24/2024 5:40:50 PM
729581,41,321698,368,1/24/2024 5:40:50 PM
729582,41,321698,539,1/24/2024 5:40:50 PM
729583,41,321977,509,1/24/2024 5:40:50 PM
729584,41,322268,544,1/24/2024 5:40:50 PM
729585,41,321894,538,1/24/2024 5:40:50 PM
