id,run_id,publication_id,topic_id,score,last_updated_date
321426,41,321613,9644,,1/24/2024 5:41:03 PM
321427,41,321614,43339,,1/24/2024 5:41:03 PM
321429,41,321616,43448,,1/24/2024 5:41:03 PM
321430,41,321617,44531,,1/24/2024 5:41:03 PM
321431,41,321618,44761,,1/24/2024 5:41:03 PM
321432,41,321619,9909,,1/24/2024 5:41:03 PM
321433,41,321620,46242,,1/24/2024 5:41:03 PM
321434,41,321621,9967,,1/24/2024 5:41:03 PM
321435,41,321622,45366,,1/24/2024 5:41:03 PM
321436,41,321623,44975,,1/24/2024 5:41:03 PM
321437,41,321624,45497,,1/24/2024 5:41:03 PM
321438,41,321625,44399,,1/24/2024 5:41:03 PM
321439,41,321626,42104,,1/24/2024 5:41:03 PM
321440,41,321627,46806,,1/24/2024 5:41:03 PM
321441,41,321628,46109,,1/24/2024 5:41:03 PM
321442,41,321629,45772,,1/24/2024 5:41:03 PM
321443,41,321630,45113,,1/24/2024 5:41:03 PM
321444,41,321631,45410,,1/24/2024 5:41:03 PM
321445,41,321632,45140,,1/24/2024 5:41:03 PM
321446,41,321633,45619,,1/24/2024 5:41:03 PM
321447,41,321634,47290,,1/24/2024 5:41:03 PM
321448,41,321635,10078,,1/24/2024 5:41:03 PM
321449,41,321636,10277,,1/24/2024 5:41:03 PM
321450,41,321637,46251,,1/24/2024 5:41:03 PM
321452,41,321639,43063,,1/24/2024 5:41:03 PM
321453,41,321640,9671,,1/24/2024 5:41:03 PM
321454,41,321641,10211,,1/24/2024 5:41:03 PM
321455,41,321642,45499,,1/24/2024 5:41:03 PM
321456,41,321643,43572,,1/24/2024 5:41:03 PM
321458,41,321645,45766,,1/24/2024 5:41:03 PM
321459,41,321646,45360,,1/24/2024 5:41:03 PM
321460,41,321647,10327,,1/24/2024 5:41:03 PM
321461,41,321648,45508,,1/24/2024 5:41:03 PM
321462,41,321649,9910,,1/24/2024 5:41:03 PM
321463,41,321650,46994,,1/24/2024 5:41:03 PM
321464,41,321651,9619,,1/24/2024 5:41:03 PM
321465,41,321652,44716,,1/24/2024 5:41:03 PM
321466,41,321653,47051,,1/24/2024 5:41:03 PM
321467,41,321654,42449,,1/24/2024 5:41:03 PM
321468,41,321655,46005,,1/24/2024 5:41:03 PM
321470,41,321657,43021,,1/24/2024 5:41:03 PM
321471,41,321658,45862,,1/24/2024 5:41:03 PM
321472,41,321659,42353,,1/24/2024 5:41:03 PM
321473,41,321660,46823,,1/24/2024 5:41:03 PM
321474,41,321661,47158,,1/24/2024 5:41:03 PM
321475,41,321662,47158,,1/24/2024 5:41:03 PM
321476,41,321663,47290,,1/24/2024 5:41:03 PM
321477,41,321664,43282,,1/24/2024 5:41:03 PM
321479,41,321667,10003,,1/24/2024 5:41:03 PM
321480,41,321668,43770,,1/24/2024 5:41:03 PM
321481,41,321669,42779,,1/24/2024 5:41:03 PM
321483,41,321671,9523,,1/24/2024 5:41:03 PM
321484,41,321672,46806,,1/24/2024 5:41:03 PM
321485,41,321673,9549,,1/24/2024 5:41:03 PM
321486,41,321674,45239,,1/24/2024 5:41:03 PM
321487,41,321675,46223,,1/24/2024 5:41:03 PM
321488,41,321676,42105,,1/24/2024 5:41:03 PM
321489,41,321677,47392,,1/24/2024 5:41:03 PM
321490,41,321678,47251,,1/24/2024 5:41:03 PM
321491,41,321679,10051,,1/24/2024 5:41:03 PM
321492,41,321680,42217,,1/24/2024 5:41:03 PM
321493,41,321681,42217,,1/24/2024 5:41:03 PM
321494,41,321682,43319,,1/24/2024 5:41:03 PM
321495,41,321683,43333,,1/24/2024 5:41:03 PM
321496,41,321684,9948,,1/24/2024 5:41:03 PM
321497,41,321685,9610,,1/24/2024 5:41:03 PM
321498,41,321686,43632,,1/24/2024 5:41:03 PM
321499,41,321687,42965,,1/24/2024 5:41:03 PM
321500,41,321688,42810,,1/24/2024 5:41:03 PM
321501,41,321689,43088,,1/24/2024 5:41:03 PM
321502,41,321690,43063,,1/24/2024 5:41:03 PM
321503,41,321691,44974,,1/24/2024 5:41:03 PM
321504,41,321692,42150,,1/24/2024 5:41:03 PM
321505,41,321693,46345,,1/24/2024 5:41:03 PM
321506,41,321694,9671,,1/24/2024 5:41:03 PM
321507,41,321695,9826,,1/24/2024 5:41:03 PM
321508,41,321696,9904,,1/24/2024 5:41:03 PM
321509,41,321697,46953,,1/24/2024 5:41:03 PM
321510,41,321698,9762,,1/24/2024 5:41:03 PM
321511,41,321699,43063,,1/24/2024 5:41:03 PM
321512,41,321700,9665,,1/24/2024 5:41:03 PM
321513,41,321701,43525,,1/24/2024 5:41:03 PM
321514,41,321702,44371,,1/24/2024 5:41:03 PM
321515,41,321703,46621,,1/24/2024 5:41:03 PM
321516,41,321704,46953,,1/24/2024 5:41:03 PM
321517,41,321705,9971,,1/24/2024 5:41:03 PM
321518,41,321706,43436,,1/24/2024 5:41:03 PM
321519,41,321707,44838,,1/24/2024 5:41:03 PM
321521,41,321709,43625,,1/24/2024 5:41:03 PM
321522,41,321710,46242,,1/24/2024 5:41:03 PM
321523,41,321711,45140,,1/24/2024 5:41:03 PM
321524,41,321712,43058,,1/24/2024 5:41:03 PM
321525,41,321713,9583,,1/24/2024 5:41:03 PM
321526,41,321714,45140,,1/24/2024 5:41:03 PM
321527,41,321715,45862,,1/24/2024 5:41:03 PM
321528,41,321716,10319,,1/24/2024 5:41:03 PM
321529,41,321717,45783,,1/24/2024 5:41:03 PM
321530,41,321718,45195,,1/24/2024 5:41:03 PM
321531,41,321719,46425,,1/24/2024 5:41:03 PM
