id,run_id,external_id,name,last_updated_date
115,41,,Academia Brasileira de Ciencias,1/24/2024 5:40:34 PM
116,41,,Academic Press,1/24/2024 5:40:34 PM
118,41,,African Association of Agricultural Economists,1/24/2024 5:40:34 PM
120,41,,Agricultural Extension Society of Nigeria,1/24/2024 5:40:34 PM
121,41,,Agricultural Institute of Canada,1/24/2024 5:40:34 PM
122,41,,Agricultural Research Communication Centre,1/24/2024 5:40:34 PM
123,41,,AIMS Press,1/24/2024 5:40:34 PM
124,41,,Akademiai Kiado ZRt.,1/24/2024 5:40:34 PM
125,41,,Alexandrine Press,1/24/2024 5:40:34 PM
127,41,,American Association for the Advancement of Science,1/24/2024 5:40:34 PM
128,41,,American Association of Avian Pathologists,1/24/2024 5:40:34 PM
129,41,,American Institute of Physics Inc.,1/24/2024 5:40:34 PM
130,41,,American Meteorological Society,1/24/2024 5:40:34 PM
131,41,,American Phytopathological Society,1/24/2024 5:40:34 PM
132,41,,American Society for Engineering Management,1/24/2024 5:40:34 PM
133,41,,American Society for Horticultural Science,1/24/2024 5:40:34 PM
134,41,,American Society for Photogrammetry and Remote Sensing,1/24/2024 5:40:34 PM
135,41,,American Society of Agricultural and Biological Engineers,1/24/2024 5:40:34 PM
136,41,,American Society of Agronomy,1/24/2024 5:40:34 PM
137,41,,"American Society of Agronomy, Crop Science Society of America, Soil Science Society of America",1/24/2024 5:40:34 PM
138,41,,American Society of Mechanical Engineers (ASME),1/24/2024 5:40:34 PM
139,41,,American Veterinary Medical Association,1/24/2024 5:40:34 PM
140,41,,Annual Reviews Inc.,1/24/2024 5:40:34 PM
141,41,,Armand Colin,1/24/2024 5:40:34 PM
142,41,,ASA/CSSA/SSSA,1/24/2024 5:40:34 PM
144,41,,ASERS Publishing House,1/24/2024 5:40:34 PM
145,41,,Asian Economic and Social Society,1/24/2024 5:40:34 PM
147,41,,Associacao Brasileira de Pos - Graduacao em Saude Coletiva,1/24/2024 5:40:34 PM
148,41,,Association of Japanese Geographers,1/24/2024 5:40:34 PM
150,41,,Aussino Academic Publishing House,1/24/2024 5:40:34 PM
151,41,,Austrian Geographical Society,1/24/2024 5:40:34 PM
152,41,,"Bellwether Publishing, Ltd.",1/24/2024 5:40:34 PM
153,41,,Bentham Science Publishers,1/24/2024 5:40:34 PM
154,41,,BioMed Central Ltd,1/24/2024 5:40:34 PM
155,41,,BioMed Central Ltd.,1/24/2024 5:40:34 PM
156,41,,Blackwell Publishing Inc.,1/24/2024 5:40:34 PM
157,41,,Blackwell Publishing Ltd,1/24/2024 5:40:34 PM
158,41,,Blue Eyes Intelligence Engineering and Sciences Publication,1/24/2024 5:40:34 PM
159,41,,Bogor Agricultural University,1/24/2024 5:40:34 PM
160,41,,Bononia University Press,1/24/2024 5:40:34 PM
161,41,,Brazilian Institute for Information in Science and Technology,1/24/2024 5:40:34 PM
164,41,,Brill Academic Publishers,1/24/2024 5:40:34 PM
165,41,,CABI International,1/24/2024 5:40:34 PM
166,41,,Canadian Institute of Forestry,1/24/2024 5:40:34 PM
168,41,,Canadian Science Publishing,1/24/2024 5:40:34 PM
170,41,,Center for Environmental and Energy Research and Studies,1/24/2024 5:40:34 PM
171,41,,Center for Great Plains Studies,1/24/2024 5:40:34 PM
172,41,,Center for Southeast Asian Studies,1/24/2024 5:40:34 PM
173,41,,Centers for Disease Control and Prevention (CDC),1/24/2024 5:40:34 PM
174,41,,CentMa GmbH,1/24/2024 5:40:34 PM
176,41,,Centre of Sociological Research,1/24/2024 5:40:34 PM
178,41,,Centro de Investigaciones Agroalimentarias (CIAAL),1/24/2024 5:40:34 PM
179,41,,Centro Universitario de Anapolis,1/24/2024 5:40:34 PM
181,41,,Chinese Society of Agricultural Engineering,1/24/2024 5:40:34 PM
182,41,,Chinese Society of Agricultural Machinery,1/24/2024 5:40:34 PM
187,41,,"College of Agriculture and Food Science, University of the Philippines Los Banos",1/24/2024 5:40:34 PM
188,41,,Colorado State University,1/24/2024 5:40:34 PM
189,41,,Commonwealth Forestry Association,1/24/2024 5:40:34 PM
190,41,,Copernicus GmbH,1/24/2024 5:40:34 PM
191,41,,Corporacion Colombiana de Investigacion Agropecuaria Corpoica,1/24/2024 5:40:34 PM
192,41,,Corvinus University of Budapest,1/24/2024 5:40:34 PM
193,41,,CSIRO,1/24/2024 5:40:34 PM
194,41,,Czech Academy of Agricultural Sciences,1/24/2024 5:40:34 PM
195,41,,De Gruyter,1/24/2024 5:40:34 PM
197,41,,De Gruyter Open Ltd,1/24/2024 5:40:34 PM
198,41,,De la Salle University,1/24/2024 5:40:34 PM
200,41,,Deutscher Fachverlag GmbH,1/24/2024 5:40:34 PM
201,41,,Duke University School of Law,1/24/2024 5:40:34 PM
202,41,,Ecological Society of America,1/24/2024 5:40:34 PM
203,41,,Ecological Society of India,1/24/2024 5:40:34 PM
204,41,,Economic and Political Weekly,1/24/2024 5:40:34 PM
206,41,,"Economic Research Institute, Far Eastern Branch, Russian Academy of Sciences",1/24/2024 5:40:34 PM
207,41,,Economics Bulletin,1/24/2024 5:40:34 PM
214,41,,EDP Sciences,1/24/2024 5:40:34 PM
216,41,,Embrapa,1/24/2024 5:40:34 PM
217,41,,Emerald Group Holdings Ltd.,1/24/2024 5:40:34 PM
218,41,,Emerald Group Publishing Ltd.,1/24/2024 5:40:34 PM
219,41,,Entrepreneurship and Sustainability Center,1/24/2024 5:40:34 PM
221,41,,ETA-Florence Renewable Energies,1/24/2024 5:40:34 PM
222,41,,European Centre for Disease Prevention and Control (ECDC),1/24/2024 5:40:34 PM
223,41,,European Survey Research Association,1/24/2024 5:40:34 PM
224,41,,"Extension Journal, Inc.",1/24/2024 5:40:34 PM
226,41,,Firenze University Press,1/24/2024 5:40:34 PM
227,41,,Food Distribution Research Society,1/24/2024 5:40:34 PM
229,41,,Franco Angeli Edizioni,1/24/2024 5:40:34 PM
230,41,,FrancoAngeli,1/24/2024 5:40:34 PM
231,41,,Frontiers Media S.A.,1/24/2024 5:40:34 PM
234,41,,Fundacao Oswaldo Cruz,1/24/2024 5:40:34 PM
235,41,,Fundacion CIPAV,1/24/2024 5:40:34 PM
236,41,,Gebruder Borntraeger Verlagsbuchhandlung,1/24/2024 5:40:34 PM
237,41,,Genetics Society of America,1/24/2024 5:40:34 PM
238,41,,Geographical Society of Ireland,1/24/2024 5:40:34 PM
239,41,,Geographical Society of Northern Finland,1/24/2024 5:40:34 PM
241,41,,"Gheorghe Asachi Technical University of Iasi, Romania",1/24/2024 5:40:34 PM
242,41,,Greek Association of Agricultural Economists,1/24/2024 5:40:34 PM
243,41,,Growing Science,1/24/2024 5:40:34 PM
247,41,,Higher Education Press Limited Company,1/24/2024 5:40:34 PM
248,41,,Horizon Research Publishing,1/24/2024 5:40:34 PM
249,41,,Horticultural Research Institute,1/24/2024 5:40:34 PM
251,41,,Humboldt Field Research Institute,1/24/2024 5:40:34 PM
252,41,,IAEME Publication,1/24/2024 5:40:34 PM
253,41,,ICMPE,1/24/2024 5:40:34 PM
254,41,,"Igitur, Utrecht Publishing and Archiving Services",1/24/2024 5:40:34 PM
255,41,,Inderscience Publishers,1/24/2024 5:40:34 PM
256,41,,Indian Academy of Sciences,1/24/2024 5:40:34 PM
257,41,,Indian Council of Agricultural Research,1/24/2024 5:40:34 PM
258,41,,Indian Society of Agricultural Economics,1/24/2024 5:40:34 PM
260,41,,Informa Healthcare,1/24/2024 5:40:34 PM
