id,run_id,keywords,external_topic_id,prominence,last_updated_date
9496,41,Absenteeism|Personnel|Sickness Absence,18515,,1/24/2024 5:41:02 PM
9509,41,Adolescent Health|Child Mortality|Maternal Welfare,84034,,1/24/2024 5:41:02 PM
9516,41,Affordable Housing|Social Planning|Trust,39143,,1/24/2024 5:41:02 PM
9522,41,Air Pollutants|Attention Deficit Hyperactivity Disorder|Nitrous Oxides,79232,,1/24/2024 5:41:02 PM
9523,41,Air Quality Standards|Pollutant Dispersion|Air Quality,29369,,1/24/2024 5:41:02 PM
9527,41,Air Quality|State of Mind|Plots,93737,,1/24/2024 5:41:02 PM
9533,41,Alcohol Consumption|Drinking|Alcoholism,8615,,1/24/2024 5:41:02 PM
9545,41,Anthropology|Eugenics|Miscegenation,58586,,1/24/2024 5:41:02 PM
9549,41,Antineoplastic Activity|Methaneselenol|Sodium Selenite,5463,,1/24/2024 5:41:02 PM
9554,41,Antisocial Behavior|Incivility|Customary Law,63043,,1/24/2024 5:41:02 PM
9559,41,Apartheid|Industrial Engineering|Sustainable Development,69867,,1/24/2024 5:41:02 PM
9562,41,Applicant|Internship and Residency|Medical Education,11998,,1/24/2024 5:41:02 PM
9567,41,Artistic Practice|Syria|Uprising,95328,,1/24/2024 5:41:02 PM
9572,41,Atrazine|Oxidative Stress|Terbutylazine,14599,,1/24/2024 5:41:02 PM
9577,41,Autism|Autistic Disorder|Patient with Autism Spectrum Disorder,41312,,1/24/2024 5:41:02 PM
9583,41,Bariatrics|Obese Patient|Morbid Obesity,38099,,1/24/2024 5:41:02 PM
9588,41,Benzodiazepines|Hypnotic Sedative Agent|Benzodiazepine Derivative,3005,,1/24/2024 5:41:02 PM
9593,41,Biopsy|Gleason Score|Prostate-Specific Antigen,1894,,1/24/2024 5:41:02 PM
9603,41,Breast Neoplasms|Aromatase Inhibitors|Older Women,9289,,1/24/2024 5:41:02 PM
9607,41,Breast Neoplasms|Lymphoscintigraphy|Micrometastasis,74,,1/24/2024 5:41:02 PM
9610,41,British North America|Montreal|Halifax,35171,,1/24/2024 5:41:02 PM
9611,41,Budapest|Post-Soviet|Hungary,58781,,1/24/2024 5:41:02 PM
9617,41,Cancer Mortality|Cancer|Childhood Cancer Survivor,37797,,1/24/2024 5:41:02 PM
9619,41,Cancer Patients|Adjuvant Chemotherapy|Time to Treatment,22601,,1/24/2024 5:41:02 PM
9620,41,Cancer|Administrative Data|Claim,33369,,1/24/2024 5:41:02 PM
9631,41,Caregivers|Quality Of Life|Stroke Rehabilitation,12035,,1/24/2024 5:41:02 PM
9637,41,Carotid Endarterectomy|Carotid Artery Stenting|Restenosis,681,,1/24/2024 5:41:02 PM
9639,41,Case Report|Hodgkin's Disease|Rituximab,15799,,1/24/2024 5:41:02 PM
9644,41,Certified Registered Nurse Anesthetists|Nurse Anesthetists|Nurses,37416,,1/24/2024 5:41:02 PM
9663,41,China|Percutaneous Coronary Intervention|Acute Heart Infarction,44379,,1/24/2024 5:41:02 PM
9665,41,Chlamydia Trachomatis|Mycoplasma Genitalium|Papillomaviridae,29525,,1/24/2024 5:41:02 PM
9667,41,Chronic Conditions|Self-Management|Social Support,85643,,1/24/2024 5:41:02 PM
9671,41,Chronic Myeloid Leukemia|Imatinib|Protein Tyrosine Kinase Inhibitor,27,,1/24/2024 5:41:02 PM
9672,41,Chronic Obstructive Lung Disease|Concentrators|Hypoxemia,11007,,1/24/2024 5:41:02 PM
9676,41,Clinical Competence|General Practice|Trainee,34787,,1/24/2024 5:41:02 PM
9682,41,Collaborative Filtering|Recommendation System|Predator,77046,,1/24/2024 5:41:02 PM
9687,41,Command Guidance|Mass Disaster|Emergency Health Service,43288,,1/24/2024 5:41:02 PM
9699,41,Competitiveness Act|Capability Index|Total Quality Management,56532,,1/24/2024 5:41:02 PM
9701,41,Composite Indicator|Europe 2020 Strategy|Data Envelopment Analysis,45604,,1/24/2024 5:41:02 PM
9710,41,Continuing Professional Development|Continuing Nursing Education|Nurses,20686,,1/24/2024 5:41:02 PM
9715,41,Counter Transference|Individuation|Analysts,50811,,1/24/2024 5:41:02 PM
9721,41,Credentialing|Medicare|Negligence,48702,,1/24/2024 5:41:02 PM
9724,41,Crime|Scene Analysis|Criminology,61050,,1/24/2024 5:41:02 PM
9726,41,Crisis Management|Terrorist Attack|Organizational Effectiveness,57121,,1/24/2024 5:41:02 PM
9727,41,Critical Access Hospital|Prospective Payment System|American Hospital Association,54165,,1/24/2024 5:41:02 PM
9731,41,Cryosurgery|Radiofrequency Ablation|Kidney Tumor,3802,,1/24/2024 5:41:02 PM
9734,41,Curricula|Medical Students|General Practice,20667,,1/24/2024 5:41:02 PM
9736,41,Cystectomy|Urinary Bladder Neoplasms|Lymph Node Dissection,6170,,1/24/2024 5:41:02 PM
9737,41,Cystectomy|Urinary Bladder Neoplasms|Organ Preservation,8106,,1/24/2024 5:41:02 PM
9739,41,Cytarabine|Acute Myeloid Leukemia|Remission,700,,1/24/2024 5:41:02 PM
9741,41,Dams|Hungary|Homosexuality,64131,,1/24/2024 5:41:02 PM
9742,41,Death|Health Facilities|Builds Competence,86360,,1/24/2024 5:41:02 PM
