UNITID,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPSERIA,LPSERIA,XLESERIA,LESERIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,LILLDYN,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM 
100654,2,"R",408728,"R",148399,"R",97,"R",3677,"R",29776,"R",1151,"R",131999,"R",413556,"R",310271,"R",723827,"R",1406,"R",129051,"R",130457,1,"R",1698,"R",49,"R",1,"R",1058885,1,"R",366523,"R",7780,"R",1021210,"R",0,"R",1028990,"R",17000,"R",85285,"R",102285,"R",2556683,2190160
100663,2,"R",895703,"R",318277,"R",413,"R",155797,"R",1243,"R",198530,"R",47198,"R",1250030,"R",367131,"R",1617161,"R",7881,"R",159501,"R",167382,1,"R",7520,"R",7457,"R",1,"R",3611236,1,"R",1142747,"R",158287,"R",4777277,"R",153456,"R",5089020,"R",15760,"R",852481,"R",868241,"R",10711244,9568497
100690,2,"R",45337,"R",0,"R",37,"R",0,"R",0,"R",1475,"R",0,"R",46812,"R",37,"R",46849,"R",152,"R",38156,"R",38308,1,"R",0,"R",6,"R",0,"R",76450,2,"Z",0,"R",250,"R",42473,"R",533,"R",43256,"R",1083,"R",2310,"R",3393,"R",123099,123099
100706,2,"R",211397,"R",396143,"R",120,"R",13001,"R",331,"R",665,"R",42987,"R",225063,"R",439581,"R",664644,"R",5905,"R",16847,"R",22752,1,"R",2621,"R",3513,"R",0,"R",1126058,2,"Z",0,"R",22113,"R",1365585,"R",40561,"R",1428259,"R",823,"R",105106,"R",105929,"R",2660246,2660246
100724,2,"R",308765,"R",69784,"R",182,"R",44764,"R",0,"R",1607,"R",4340,"R",355136,"R",74306,"R",429442,"R",3119,"R",1914,"R",5033,1,"R",1269,"R",260,"R",0,"R",1603571,1,"R",352319,"R",4984,"R",435601,"R",0,"R",440585,"R",0,"R",151826,"R",151826,"R",2548301,2195982
100751,2,"R",4041149,"R",1519422,"R",589,"R",171618,"R",71794,"R",419,"R",199096,"R",4213186,"R",1790901,"R",6004087,"R",62747,"R",556910,"R",619657,1,"R",17867,"R",11066,"R",6,"R",7540241,2,"Z",0,"R",973003,"R",10428605,"R",561985,"R",11963593,"R",102878,"R",2224790,"R",2327668,"R",21831502,21831502
100760,2,"R",27157,"R",8656,"R",3,"R",422,"R",0,"R",0,"R",0,"R",27579,"R",8659,"R",36238,"R",1410,"R",182,"R",1592,1,"R",0,"R",0,"R",2,"R",197610,1,"R",50266,"R",11129,"R",25958,"R",0,"R",37087,"R",0,"R",6816,"R",6816,"R",291779,241513
100812,2,"R",82176,"R",242986,"R",90,"R",339,"R",26469,"R",82,"R",74317,"R",82597,"R",343862,"R",426459,"R",4330,"R",8080,"R",12410,1,"R",115,"R",85,"R",0,"R",518465,1,"R",188196,"R",29210,"R",189367,"R",750,"R",219327,"R",3231,"R",9123,"R",12354,"R",938342,750146
100830,2,"R",503308,"R",715467,"R",151,"R",4465,"R",137,"R",0,"R",0,"R",507773,"R",715755,"R",1223528,"R",7683,"R",7251,"R",14934,1,"R",973,"R",1371,"R",0,"R",958905,1,"R",289999,"R",38323,"R",422664,"R",65786,"R",526773,"R",100,"R",109867,"R",109967,"R",1885644,1595645
100858,2,"R",1584446,"R",1040925,"R",253,"R",607808,"R",22161,"R",76272,"R",83255,"R",2268526,"R",1146594,"R",3415120,"R",44583,"R",167270,"R",211853,1,"R",17481,"R",8775,"R",2,"R",4980556,1,"R",1426877,"R",723737,"R",7082833,"R",34142,"R",7840712,"R",36963,"R",1224764,"R",1261727,"R",15509872,14082995
100937,2,"R",219812,"R",209332,"R",190,"R",39081,"R",67659,"R",5428,"R",40285,"R",264321,"R",317466,"R",581787,"R",4868,"R",4133,"R",9001,1,"R",741,"R",1484,"R",1,"R",443485,1,"R",98668,"R",164679,"R",304164,"R",0,"R",468843,"R",1940,"R",107292,"R",109232,"R",1120228,1021560
101028,2,"R",43101,"R",77948,"R",56,"R",718,"R",0,"R",33,"Z",0,"R",43852,"R",78004,"R",121856,"R",1327,"R",51,"R",1378,1,"R",73,"R",44,"R",0,"R",148197,1,"R",51475,"R",4833,"R",19869,"R",2865,"R",27567,"R",0,"R",0,"R",0,"R",227239,175764
101073,2,"R",52037,"R",3700,"R",97,"R",2025,"R",500,"R",160,"R",55,"R",54222,"R",4352,"R",58574,"R",200,"R",129,"R",329,2,"A",,"A",,"R",0,"R",171450,1,"R",31026,"R",16147,"R",28142,"R",10154,"R",54443,"R",3720,"R",2000,"R",5720,"R",262639,231613
101116,2,"R",9878,"R",448465,"R",97,"R",1129,"R",65878,"R",5,"R",114978,"R",11012,"R",629418,"R",640430,"R",447,"R",477183,"R",477630,1,"R",5,"R",5,"R",0,"R",75951,1,"R",15858,"R",37532,"R",33509,"R",3964,"R",75005,"R",0,"R",388,"R",388,"R",167202,151344
101143,2,"R",54645,"R",4,"R",5,"R",3602,"R",1482,"R",50,"R",0,"R",58297,"R",1491,"R",59788,"R",760,"R",69424,"R",70184,1,"R",3,"R",7,"R",2,"R",197230,1,"R",71787,"R",5323,"R",13345,"R",5117,"R",23785,"R",4671,"R",0,"R",4671,"R",297473,225686
101161,2,"R",67891,"R",164000,"R",80,"R",2935,"Z",0,"R",1,"R",21,"R",70827,"R",164101,"R",234928,"R",2251,"R",85,"R",2336,1,"R",3,"R",8,"R",2,"R",272154,1,"R",84097,"R",62557,"R",13521,"R",15811,"R",91889,"R",100,"R",77236,"R",77336,"R",525476,441379
101189,2,"R",121708,"R",237524,"R",128,"R",2877,"R",3534,"R",3897,"R",397239,"R",128482,"R",638425,"R",766907,"R",2711,"R",1003,"R",3714,1,"R",534,"R",239,"R",3,"R",313065,2,"Z",0,"R",13696,"R",212735,"R",23050,"R",249481,"R",7000,"R",20800,"R",27800,"R",590346,590346
101240,2,"R",66548,"R",62846,"R",63,"R",3160,"R",1,"R",27,"R",1,"R",69735,"R",62911,"R",132646,"R",3642,"R",653,"R",4295,1,"R",34,"R",27,"R",4,"R",478708,1,"R",137211,"R",6861,"R",21465,"R",1573,"R",29899,"R",0,"R",48144,"R",48144,"R",693962,556751
101286,2,"R",35060,"R",659,"R",9,"R",866,"R",0,"R",50,"R",8,"R",35976,"R",676,"R",36652,"R",4609,"R",3768,"R",8377,1,"R",1,"R",8,"R",1,"R",283687,1,"R",103673,"R",41054,"R",36045,"R",17735,"R",94834,"R",1814,"R",2205,"R",4019,"R",486213,382540
101295,2,"R",51843,"R",136977,"R",61,"R",4444,"R",0,"R",114,"R",34316,"R",56401,"R",171354,"R",227755,"R",102,"R",13957,"R",14059,1,"R",0,"R",0,"R",0,"R",142813,1,"R",22750,"R",3091,"R",34316,"R",1965,"R",39372,"R",600,"R",600,"R",1200,"R",206135,183385
101301,2,"R",22075,"R",47,"R",5,"R",704,"R",0,"R",128,"R",5000,"R",22907,"R",5052,"R",27959,"R",1190,"R",27,"R",1217,2,"A",,"A",,"R",0,"R",127845,1,"R",44628,"R",7890,"R",7780,"R",2320,"R",17990,"R",950,"R",0,"R",950,"R",191413,146785
101365,2,"R",74,"R",37751,"R",108,"R",2,"R",46413,"R",0,"R",61410,"R",76,"R",145682,"R",145758,"R",0,"R",44119,"R",44119,1,"R",0,"R",1,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
101435,2,"R",84555,"R",103891,"R",114,"R",4726,"R",29,"R",187,"R",41336,"R",89468,"R",145370,"R",234838,"R",1590,"R",98400,"R",99990,1,"R",213,"R",235,"R",0,"R",266877,1,"R",33307,"R",54398,"R",102826,"R",4450,"R",161674,"R",0,"R",67574,"R",67574,"R",529432,496125
101453,2,"R",20407,"R",3473,"R",21048,"R",0,"R",0,"R",11383,"R",0,"R",31790,"R",24521,"R",56311,"R",1487,"R",642,"R",2129,1,"R",0,"R",0,"R",0,"R",47294,1,"R",9985,"R",20481,"R",44518,"R",0,"R",64999,"R",0,"R",7303,"R",7303,"R",129581,119596
101462,2,"R",24485,"R",0,"R",57,"R",666,"R",0,"R",158,"R",54,"R",25309,"R",111,"R",25420,"R",973,"R",68423,"R",69396,2,"A",,"A",,"R",0,"R",129726,1,"R",24941,"R",7071,"R",48570,"R",0,"R",55641,"R",0,"R",0,"R",0,"R",210308,185367
101471,2,"R",1771,"R",4,"R",1,"R",0,"Z",0,"R",16,"Z",0,"R",1787,"R",5,"R",1792,"R",0,"R",11,"R",11,1,"R",0,"R",0,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
101480,2,"R",633249,"R",47476,"R",447,"R",10125,"R",201547,"R",72973,"R",235252,"R",716347,"R",484722,"R",1201069,"R",16315,"R",100235,"R",116550,1,"R",1868,"R",179,"R",0,"R",1414185,2,"Z",0,"R",385169,"R",667956,"R",0,"R",1053125,"R",30000,"R",474769,"R",504769,"R",2972079,2972079
101499,2,"R",37026,"R",0,"R",1,"R",5095,"R",0,"R",69,"R",5,"R",42190,"R",6,"R",42196,"R",1652,"R",1000,"R",2652,2,"A",,"A",,"R",1,"R",208004,1,"R",72309,"R",6349,"R",9317,"R",8705,"R",24371,"R",0,"R",9963,"R",9963,"R",314647,242338
101505,2,"R",63660,"R",193910,"R",52,"R",206,"R",29294,"R",234,"R",296861,"R",64100,"R",520117,"R",584217,"R",2290,"R",43114,"R",45404,2,"A",,"A",,"R",3,"R",424484,1,"R",133942,"R",3977,"R",199753,"R",0,"R",203730,"R",0,"R",53404,"R",53404,"R",815560,681618
101514,2,"R",47281,"R",48944,"R",8,"R",240,"R",0,"R",0,"R",0,"R",47521,"R",48952,"R",96473,"R",2276,"R",4342,"R",6618,1,"R",0,"R",103,"R",1,"R",372577,1,"R",124894,"R",22434,"R",20919,"R",33441,"R",76794,"R",0,"R",39791,"R",39791,"R",614056,489162
101541,2,"R",59565,"R",416679,"R",86,"R",5878,"R",135485,"R",49,"R",48854,"R",65492,"R",601104,"R",666596,"R",1358,"R",3893,"R",5251,1,"R",241,"R",467,"R",0,"R",149820,2,"Z",0,"R",16724,"R",31506,"R",0,"R",48230,"R",222,"R",43662,"R",43884,"R",241934,241934
101569,2,"R",47711,"R",48674,"R",72,"R",2241,"R",0,"R",37,"R",0,"R",49989,"R",48746,"R",98735,"R",7018,"R",1454,"R",8472,2,"A",,"A",,"R",1,"R",374149,1,"R",118663,"R",28228,"R",1008,"R",0,"R",29236,"R",0,"R",33000,"R",33000,"R",555048,436385
101587,2,"R",167308,"R",2121,"R",174,"R",2299,"Z",0,"R",41804,"R",108967,"R",211411,"R",111262,"R",322673,"R",2442,"R",500,"R",2942,1,"R",308,"R",239,"R",1,"R",481577,2,"Z",0,"R",34302,"R",139086,"R",5005,"R",178393,"R",1950,"R",11136,"R",13086,"R",673056,673056
