UNITID,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPSERIA,LPSERIA,XLESERIA,LESERIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,LILLDYN,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM 
100654,2,"R",408972,"R",153066,"R",96,"R",2986,"R",31527,"R",1152,"R",132364,"R",413110,"R",317053,"R",730163,"R",1116,"R",155228,"R",156344,1,"R",1814,"R",161,"R",0,"R",1091789,1,"R",369306,"R",11945,"R",1060799,"R",364725,"R",1437469,"R",7125,"R",93465,"R",100590,"R",2999154,2629848
100663,2,"R",884879,"R",451499,"R",433,"R",137269,"R",1287,"R",198530,"R",62019,"R",1220678,"R",515238,"R",1735916,"R",17291,"R",127017,"R",144308,1,"R",6696,"R",7453,"R",1,"R",3469006,1,"R",1115233,"R",23799,"R",5471442,"R",143575,"R",5638816,"R",18175,"R",942187,"R",960362,"R",11183417,10068184
100690,2,"R",49256,"R",18,"R",68,"Z",0,"Z",0,"R",1218,"Z",0,"R",50474,"R",86,"R",50560,"R",101,"R",2917,"R",3018,1,"R",0,"R",36,"R",0,"R",78601,2,"Z",0,"R",635,"R",47121,"R",697,"R",48453,"R",92,"R",4368,"R",4460,"R",131514,131514
100706,2,"R",209273,"R",456505,"R",155,"R",14419,"R",2559,"R",1456,"R",60760,"R",225148,"R",519979,"R",745127,"R",5184,"R",15199,"R",20383,1,"R",2807,"R",3104,"R",0,"R",1179465,2,"Z",0,"R",41765,"R",1449230,"R",36378,"R",1527373,"R",4764,"R",171614,"R",176378,"R",2883216,2883216
100724,2,"R",309541,"R",69796,"R",192,"R",44583,"R",0,"R",1607,"R",4477,"R",355731,"R",74465,"R",430196,"R",5445,"R",2659,"R",8104,1,"R",1143,"R",216,"R",0,"R",1534666,1,"R",410065,"R",47885,"R",446429,"R",0,"R",494314,"R",0,"R",210553,"R",210553,"R",2649598,2239533
100751,2,"R",2648650,"R",1784698,"R",600,"R",193531,"R",157956,"R",138096,"R",203754,"R",2980277,"R",2147008,"R",5127285,"R",60430,"R",475434,"R",535864,1,"R",15990,"R",11423,"R",6,"R",7357067,2,"Z",0,"R",1491422,"R",9938567,"R",574502,"R",12004491,"R",205516,"R",3395563,"R",3601079,"R",22962637,22962637
100760,2,"R",27159,"R",8656,"R",3,"R",422,"R",0,"R",0,"R",0,"R",27581,"R",8659,"R",36240,"R",1425,"R",212,"R",1637,1,"R",0,"R",0,"R",2,"R",199314,1,"R",65902,"R",16694,"R",23350,"R",0,"R",40044,"R",0,"R",4314,"R",4314,"R",309574,243672
100812,2,"R",81172,"R",284746,"R",99,"R",560,"R",489,"R",84,"R",51059,"R",81816,"R",336393,"R",418209,"R",4172,"R",9491,"R",13663,1,"R",106,"R",101,"R",0,"R",499065,1,"R",179125,"R",24916,"R",196791,"R",730,"R",222437,"R",2931,"R",15671,"R",18602,"R",919229,740104
100830,2,"R",632589,"R",716521,"R",153,"R",4489,"R",141,"R",918,"R",63877,"R",637996,"R",780692,"R",1418688,"R",7479,"R",7428,"R",14907,1,"R",934,"R",1112,"R",0,"R",957144,1,"R",293424,"R",51338,"R",394517,"R",46315,"R",492170,"R",100,"R",103981,"R",104081,"R",1846819,1553395
100858,2,"R",1593390,"R",1043354,"R",245,"R",608151,"R",56424,"R",76345,"R",94890,"R",2277886,"R",1194913,"R",3472799,"R",47796,"R",338708,"R",386504,1,"R",32813,"R",7917,"R",2,"R",5039856,1,"R",1377025,"R",1091765,"R",7410063,"R",32582,"R",8534410,"R",20868,"R",1406607,"R",1427475,"R",16378766,15001741
