UNITID,LEXP100K,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPSERIA,LPSERIA,XLESERIA,LESERIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,LILLDYN,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,LILSYN,XLSTOTAL,LSTOTAL,XLSLIBRN,LSLIBRN,XLSOPROF,LSOPROF,XLSOPAID,LSOPAID,XLSSTAST,LSSTAST,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM 
100654,1 ,2,"R",426255,"R",154425,"R",92,"R",2199,"R",37480,"R",1396,"R",132562,"R",429850,"R",324559,"R",754409,"R",263,"R",161402,"R",161665,1,"R",1297,"R",195,1,"R",25.00,"R",11.00,"R",6.00,"R",1.00,"R",7.00,"R",0,"R",1048322,1,"R",379338,"R",36102,"R",800833,"R",689178,"R",1526113,"R",100000,"R",72000,"R",172000,"R",3125773,2746435
100663,1 ,2,"R",1029588,"R",503978,"R",441,"R",33670,"R",17677,"R",36504,"R",111249,"R",1099762,"R",633345,"R",1733107,"R",33083,"R",247710,"R",280793,1,"R",17937,"R",7411,1,"R",67.45,"R",28.00,"R",9.00,"R",23.20,"R",7.25,"R",1,"R",3501879,1,"R",1040299,"R",925171,"R",6159487,"R",152005,"R",7236663,"R",14360,"R",621699,"R",636059,"R",12414900,11374601
100690,1 ,2,"R",50723,"R",172,"R",70,"Z",0,"Z",0,"R",1220,"Z",0,"R",51943,"R",242,"R",52185,"R",101,"R",24729,"R",24830,1,"R",1,"R",515,1,"R",1.25,"R",1.25,"R",0.00,"R",0.00,"R",0.00,"R",0,"R",68398,2,"Z",0,"R",9763,"R",64959,"R",2576,"R",77298,"R",206,"R",5129,"R",5335,"R",151031,151031
100706,1 ,2,"R",203812,"R",599677,"R",205,"R",14483,"R",3061,"R",1440,"R",82766,"R",219735,"R",685709,"R",905444,"R",3182,"R",326467,"R",329649,1,"R",3747,"R",2496,1,"R",36.00,"R",9.80,"R",4.00,"R",9.00,"R",13.20,"R",0,"R",1275170,2,"Z",0,"R",18390,"R",1404136,"R",33290,"R",1455816,"R",3462,"R",121675,"R",125137,"R",2856123,2856123
100724,1 ,2,"R",310892,"R",69838,"R",197,"R",44608,"Z",0,"R",1607,"R",6552,"R",357107,"R",76587,"R",433694,"R",3241,"R",24828,"R",28069,1,"R",306,"R",70,1,"R",63.00,"R",13.00,"R",3.00,"R",19.00,"R",28.00,"R",0,"R",1698855,1,"R",412299,"R",9350,"R",593414,"R",0,"R",602764,"R",0,"R",234206,"R",234206,"R",2948124,2535825
100751,1 ,2,"R",2025363,"R",1889386,"R",604,"R",191091,"R",168409,"R",61551,"R",225527,"R",2278005,"R",2283926,"R",4561931,"R",34722,"R",498214,"R",532936,1,"R",12405,"R",8228,1,"R",139.00,"R",48.00,"R",19.00,"R",47.00,"R",25.00,"R",6,"R",7076279,2,"Z",0,"R",760268,"R",10393150,"R",584091,"R",11737509,"R",0,"R",2251900,"R",2251900,"R",21065688,21065688
100760,1 ,2,"R",27231,"R",8656,"R",2,"R",422,"R",0,"R",0,"R",0,"R",27653,"R",8658,"R",36311,"R",997,"R",68,"R",1065,1,"R",0,"R",0,1,"R",5.00,"R",2.00,"R",1.00,"R",2.00,"R",0.00,"R",2,"R",195266,1,"R",69413,"R",2968,"R",28642,"R",1274,"R",32884,"R",0,"R",2565,"R",2565,"R",300128,230715
100812,1 ,2,"R",81471,"R",306528,"R",123,"R",639,"R",1474,"R",81,"R",66246,"R",82191,"R",374371,"R",456562,"R",3683,"R",10423,"R",14106,1,"R",391,"R",92,1,"R",15.25,"R",6.00,"R",4.00,"R",0.50,"R",4.75,"R",0,"R",520823,1,"R",177788,"R",50429,"R",221385,"R",730,"R",272544,"R",0,"R",16813,"R",16813,"R",987968,810180
100830,1 ,2,"R",631771,"R",716866,"R",156,"R",4240,"R",157,"R",927,"R",64078,"R",636938,"R",781257,"R",1418195,"R",5528,"R",5448,"R",10976,1,"R",691,"R",930,1,"R",31.00,"R",8.00,"R",10.00,"R",3.00,"R",10.00,"R",0,"R",921810,1,"R",284825,"R",51992,"R",424574,"R",35286,"R",511852,"R",100,"R",84148,"R",84248,"R",1802735,1517910
100858,1 ,2,"R",1655073,"R",1351443,"R",264,"R",596614,"R",47593,"R",66278,"R",157743,"R",2317965,"R",1557043,"R",3875008,"R",56058,"R",1567182,"R",1623240,1,"R",23487,"R",8564,1,"R",113.70,"R",33.00,"R",27.00,"R",26.70,"R",27.00,"R",2,"R",5168453,1,"R",1493833,"R",1090949,"R",8116030,"R",91690,"R",9298669,"R",15126,"R",1985145,"R",2000271,"R",17961226,16467393
100937,1 ,2,"R",223689,"R",243382,"R",122,"R",29852,"R",95302,"R",5012,"R",47374,"R",258553,"R",386180,"R",644733,"R",2224,"R",27507,"R",29731,1,"R",520,"R",1441,1,"R",11.00,"R",5.00,"R",0.00,"R",4.00,"R",2.00,"R",0,"R",519122,1,"R",67543,"R",40716,"R",249336,"R",124,"R",290176,"R",0,"R",101609,"R",101609,"R",978450,910907
101028,1 ,2,"R",32846,"R",28182,"R",110,"R",708,"R",0,"R",0,"R",21515,"R",33554,"R",49807,"R",83361,"R",522,"R",915,"R",1437,1,"R",49,"R",5,1,"R",3.00,"R",1.00,"R",2.00,"R",0.00,"R",0.00,"R",0,"R",130659,1,"R",47488,"R",278,"R",6998,"R",2642,"R",9918,"R",0,"R",0,"R",0,"R",188065,140577
101116,1 ,2,"R",14756,"R",544717,"R",100,"R",1490,"R",67550,"R",7,"R",121865,"R",16253,"R",734232,"R",750485,"R",181,"R",20159,"R",20340,1,"R",0,"R",1,1,"R",1.00,"R",1.00,"R",0.00,"R",0.00,"R",0.00,"R",0,"R",58142,1,"R",2765,"R",0,"R",49275,"R",5344,"R",54619,"R",0,"R",0,"R",0,"R",115526,112761
101143,2 ,2,"R",48208,"R",4,"R",5,"R",955,"R",0,"R",0,"R",0,"R",49163,"R",9,"R",49172,"R",152,"R",69352,"R",69504,1,"R",0,"R",0,1,"R",1.48,"R",0.00,"R",0.00,"R",1.48,"R",0.00,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.
101161,1 ,2,"R",122980,"R",261150,"R",86,"R",7836,"R",0,"R",121,"R",0,"R",130937,"R",261236,"R",392173,"R",3311,"R",832,"R",4143,1,"R",2,"R",7,1,"R",19.00,"R",5.00,"R",4.00,"R",6.00,"R",4.00,"R",8,"R",750625,1,"R",262641,"R",49595,"R",58871,"R",34928,"R",143394,"R",0,"R",52466,"R",52466,"R",1209126,946485
101189,1 ,2,"R",119969,"R",468357,"R",129,"R",2801,"R",6956,"R",5038,"R",400694,"R",127808,"R",876136,"R",1003944,"R",1565,"R",5829,"R",7394,1,"R",637,"R",740,1,"R",13.00,"R",5.00,"R",1.00,"R",2.00,"R",5.00,"R",4,"R",309167,2,"Z",0,"R",14650,"R",131801,"R",12934,"R",159385,"R",6000,"R",22900,"R",28900,"R",497452,497452
101240,1 ,2,"R",73349,"R",63104,"R",87,"R",3982,"R",93,"R",22,"R",7353,"R",77353,"R",70637,"R",147990,"R",1851,"R",72962,"R",74813,1,"R",0,"R",0,1,"R",15.00,"R",3.00,"R",3.00,"R",7.00,"R",2.00,"R",3,"R",331967,1,"R",92506,"R",1250,"R",15588,"R",3995,"R",20833,"R",0,"R",61654,"R",61654,"R",506960,414454
101286,1 ,2,"R",27122,"R",801,"R",8,"R",892,"Z",0,"R",51,"R",7,"R",28065,"R",816,"R",28881,"R",2320,"R",8007,"R",10327,1,"R",0,"R",6,1,"R",10.76,"R",3.71,"R",0.00,"R",2.95,"R",4.10,"R",1,"R",235925,1,"R",71364,"R",19468,"R",23995,"R",4939,"R",48402,"R",0,"R",413,"R",413,"R",356104,284740
101295,1 ,2,"R",55588,"R",184042,"R",134,"R",12802,"R",70000,"R",86,"R",87444,"R",68476,"R",341620,"R",410096,"R",100,"R",149200,"R",149300,1,"R",0,"R",1,1,"R",8.00,"R",2.00,"R",2.00,"R",1.00,"R",3.00,"R",1,"R",245396,1,"R",90881,"R",18344,"R",53241,"R",1302,"R",72887,"R",523,"R",1632,"R",2155,"R",411319,320438
