journal_title,Scopus only,OpenAlex Seed only,OpenAlex FT only,Dimensions only,Scopus ∩ OA Seed,Scopus ∩ OA FT,Scopus ∩ Dimensions,OA Seed ∩ OA FT,OA Seed ∩ Dimensions,OA FT ∩ Dimensions,Scopus ∩ OA Seed ∩ OA FT,Scopus ∩ OA Seed ∩ Dimensions,Scopus ∩ OA FT ∩ Dimensions,OA Seed ∩ OA FT ∩ Dimensions,Scopus ∩ OA Seed ∩ OA FT ∩ Dimensions
Public Health Nutrition,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0
Journal of Hunger and Environmental Nutrition,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0
Journal of Nutrition Education and Behavior,0,0,0,0,0,0,0,0,0,0,0,167,0,0,0
Journal of the Academy of Nutrition and Dietetics,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0
International Journal of Environmental Research and Publi...,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0
Nutrients,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0
Journal of Nutrition,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
Appetite,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0
BMC Public Health,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0
Journal of American College Health,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0
Academic Pediatrics,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0
Contemporary Clinical Trials,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0
Annals of Epidemiology,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
Preventive Medicine,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
American Journal of Preventive Medicine,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0
Food Security,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0
Social Science and Medicine,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0
PLoS ONE,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
Pediatrics,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
International Journal of Eating Disorders,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0
American Journal of Health Promotion,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
Frontiers in Public Health,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
Journal of Adolescent Health,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
Journal of Immigrant and Minority Health,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
Current Developments in Nutrition,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0
Eating Behaviors,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
Journal of Agriculture Food Systems and Community Develop...,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
Ecology of Food and Nutrition,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
Pediatric Obesity,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
Translational Behavioral Medicine,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
Journal of Nutrition in Gerontology and Geriatrics,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
Health Affairs,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
Preventive Medicine Reports,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
Advances in Nutrition,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
American Journal of Public Health,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
Applied Economic Perspectives and Policy,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
