journal_title,Scopus only,OpenAlex Seed only,OpenAlex FT only,Dimensions only,Scopus ∩ OA Seed,Scopus ∩ OA FT,Scopus ∩ Dimensions,OA Seed ∩ OA FT,OA Seed ∩ Dimensions,OA FT ∩ Dimensions,Scopus ∩ OA Seed ∩ OA FT,Scopus ∩ OA Seed ∩ Dimensions,Scopus ∩ OA FT ∩ Dimensions,OA Seed ∩ OA FT ∩ Dimensions,Scopus ∩ OA Seed ∩ OA FT ∩ Dimensions
Journal of Health Economics,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
American Journal of Preventive Medicine,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
PLoS Medicine,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Public Health Nutrition,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
American Journal of Public Health,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
International Journal of Environmental Research and Publi...,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
American Journal of Agricultural Economics,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Food Policy,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
American Journal of Health Promotion,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Applied Economic Perspectives and Policy,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Contemporary Clinical Trials,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Frontiers in Sustainable Food Systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Journal of International Economics,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Resources Conservation and Recycling,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Frontiers in Nutrition,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Journal of Nutrition Education and Behavior,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
African Journal of Food Agriculture Nutrition and Develop...,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agribusiness,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Agricultural and Resource Economics Review,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
American Economic Journal Economic Policy,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Health Economics,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
International Journal of Behavioral Nutrition and Physica...,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Journal of Community Health,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Review of Economics of the Household,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSRN Electronic Journal,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Animals,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
European Review of Agricultural Economics,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Soil and Water Conservation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Journal of the Academy of Nutrition and Dietetics,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
