"journal_title","scopus_yes","oa_yes","dim_yes"
"ACS Sustainable Chemistry & Engineering",0,1,0
"AIMS Agriculture and Food",1,0,0
"Abstracts with programs - Geological Society of America",0,1,0
"Acta Horticulturae",0,1,0
"Acta Scientific Agriculture",0,1,0
"Ad Hoc Networks",1,0,1
"Advanced Sustainable Systems",0,1,0
"Aestimum",0,1,0
"African Journal of Food Agriculture Nutrition and Development",1,0,0
"AgriEngineering",1,0,1
"Agribusiness",1,1,1
"Agricultural & Environmental Letters",0,1,0
"Agricultural & Rural Studies",0,1,0
"Agricultural Economics",0,1,0
"Agricultural Economics (United Kingdom)",1,0,1
"Agricultural Finance Review",1,1,1
"Agricultural Research & Technology Open Access Journal",0,1,0
"Agricultural Reviews",0,1,0
"Agricultural Sciences",0,1,0
"Agricultural Systems",1,1,1
"Agricultural Water Management",0,1,0
"Agricultural and Environmental Letters",1,0,1
"Agricultural and Food Economics",0,1,0
"Agricultural and Forest Meteorology",0,1,0
"Agricultural and Resource Economics Review",1,1,1
"Agriculture",0,1,0
"Agriculture & Food Security",0,1,0
"Agriculture (Switzerland)",1,0,0
"Agriculture Ecosystems & Environment",0,1,0
"Agriculture and Food Sciences Research",0,1,0
"Agriculture and Human Values",1,1,1
"Agris on-line Papers in Economics and Informatics",0,1,0
"Agroecology and Sustainable Food Systems",1,1,0
"Agroforestry Systems",0,1,0
"Agronoma Colombiana",0,1,0
"Agronomy",1,0,1
"Agronomy Journal",1,1,1
"Agronomy for Sustainable Development",0,1,0
"Agrosystems Geosciences & Environment",0,1,0
"Agrosystems Geosciences and Environment",1,0,1
"American Entomologist",0,1,0
"American Indian Culture and Research Journal",0,1,0
"American Journal of Agricultural Economics",1,1,1
"American Journal of Climate Change",0,1,0
"American Journal of Clinical Nutrition",0,1,0
"American Journal of Economics and Sociology",0,1,0
"American Journal of Human Biology",0,1,0
"American Journal of Public Health",0,1,0
"Amrica Latina en la Historia Econmica",0,1,0
"Animals",0,1,0
"Annals of Geophysics",0,1,0
"Annals of Operations Research",0,1,0
"Annals of Work Exposures and Health",1,0,0
"Annals of the American Association of Geographers",0,1,0
"Annual Review of Resource Economics",0,1,1
"Antarctica A Keystone in a Changing World",0,1,0
"Applied Animal Science",1,1,1
"Applied Economic Perspectives and Policy",1,1,1
"Applied Economics",1,1,1
"Applied Economics Letters",0,1,0
"Applied Economics and Finance",0,1,0
"Applied Energy",0,1,1
"Applied Engineering in Agriculture",0,1,0
"Applied Geography",0,1,0
"Applied Soil Ecology",1,0,0
"Aquaculture",0,1,0
"Aquaculture Economics & Management",0,1,1
"Asia & the Pacific Policy Studies",0,1,0
"Asia Pacific Journal of Social and Behavioral Sciences",0,1,0
"Asian Journal of Agriculture and Rural Development",0,1,0
"Atmosphere",1,1,0
"Atmospheric Environment",0,1,0
"Atmospheric chemistry and physics",0,1,0
"Australian Journal of Agricultural and Resource Economics",0,1,0
"BAR - Brazilian Administration Review",0,1,0
"BIO Web of Conferences",0,1,0
"BMC Public Health",0,1,0
"BMC Research Notes",0,1,0
"BMC Veterinary Research",0,1,0
"Berkeley Planning Journal",0,1,0
"BioEnergy Research",0,0,1
"Biofuels",1,0,1
"Biofuels Bioproducts and Biorefining",1,1,1
"Biogeosciences",0,1,0
"Biological Conservation",0,1,0
"Biological Control",0,1,0
"Biological Invasions",0,1,0
"Biomass and Bioenergy",1,1,0
"Biometrika",1,0,0
"British Food Journal",1,0,1
"Built Heritage",0,1,0
"Business History",0,1,0
"CAB Reviews: Perspectives in Agriculture Veterinary Science Nutrition and Natural Resources",1,0,0
"CSA News",0,1,0
"California Agriculture",0,1,0
"Canadian Geographies / Gographies canadiennes",0,1,0
"Canadian Journal of Agricultural Economics",1,0,0
"Canadian Journal of Agricultural Economics/Revue canadienne d agroeconomie",0,1,0
"Canadian Journal of Development Studies/Revue canadienne d tudes du dveloppement",0,1,0
"Canadian Journal of Soil Science",0,1,0
"Carbon Management",0,1,0
"China Agricultural Economic Review",1,1,0
"Chinese Economy",0,1,0
"Clean Technologies and Environmental Policy",0,1,0
"Climate",0,1,0
"Climate Risk Management",1,0,1
"Climatic Change",1,1,1
"Coastal Management",0,1,0
"Collection Management",0,1,0
"Communications Earth & Environment",0,1,0
"Communications in Statistics: Simulation and Computation",1,0,0
"Community Development",0,1,0
"Computational Statistics & Data Analysis",0,0,1
"Computers Environment and Urban Systems",0,1,0
"Computers and Electronics in Agriculture",1,1,1
"Conservation Genetics Resources",0,1,0
"Continental Shelf Research",0,1,0
"Crop Forage & Turfgrass Management",0,1,0
"Crop Protection",1,0,0
"Crop Science",0,1,1
"Culture Agriculture Food and Environment",0,1,0
"Current Science",0,1,0
"Data",0,1,0
"Data in Brief",0,1,0
"Demography",0,1,0
"Diversity",0,1,0
"E3S Web of Conferences",0,1,0
"EDIS",0,1,0
"EUROPEAN RESEARCH STUDIES JOURNAL",0,1,0
"Earth Interactions",0,1,0
"Earth System Science Data",0,0,1
"Earth system science data",0,1,0
"Earth-Science Reviews",0,1,0
"Ecological Economics",1,1,1
"Ecological Engineering",0,1,0
"Ecological Indicators",0,1,0
"Ecological Modelling",1,1,1
"Ecology and Evolution",0,1,0
"Ecology and Society",0,1,0
"Economica",0,1,0
"Economics & Sociology",0,1,0
"Economics and Business Letters",0,1,0
"Economics and Sociology",1,0,0
"Ecosphere",0,1,0
"Ecosystem Services",0,1,0
"Ecosystems",0,1,0
"Ekonomika poljoprivrede",0,1,0
"Electronic Journal of Plant Breeding",0,1,0
"Elementa Science of the Anthropocene",0,1,0
"Emerging Markets Finance and Trade",1,0,0
"Energies",0,1,0
"Energy",0,1,1
"Energy & Environmental Science",0,1,0
"Energy Economics",0,1,0
"Energy Policy",1,0,1
"Energy Research & Social Science",0,0,1
"Environment Development and Sustainability",0,1,0
"Environment and Planning E Nature and Space",0,1,0
"Environment and Planning F",0,1,0
"Environmental Communication",0,1,0
"Environmental Engineering Science",1,0,1
"Environmental Entomology",1,0,1
"Environmental Geochemistry and Health",0,1,0
"Environmental Health",0,1,0
"Environmental Management",0,1,0
"Environmental Modelling & Software",0,1,1
"Environmental Modelling and Software",1,0,1
"Environmental Monitoring and Assessment",0,1,0
"Environmental Pollution",0,1,0
"Environmental Research",0,1,0
"Environmental Research Infrastructure and Sustainability",0,0,1
"Environmental Research Letters",1,1,1
"Environmental Science & Technology",0,1,0
"Environmental Science and Pollution Research",1,0,0
"Environmental Science and Technology",0,0,1
"Environmental Sociology",0,1,0
"Environmental Toxicology and Chemistry",0,1,0
"Environments",0,1,0
"Epidemics",0,1,0
"Estuarine Coastal and Shelf Science",0,1,0
"Ethnobiology Letters",0,1,0
"EuroChoices",0,0,1
"European Countryside",0,1,0
"European Review of Agricultural Economics",1,1,1
"European Scientific Journal ESJ",0,1,0
"Evolutionary Applications",0,1,0
"FEMS Microbiology Ecology",0,1,0
"Food Policy",1,1,1
"Food Protection Trends",0,1,0
"Food Security",0,1,0
"Foodborne Pathogens and Disease",0,1,0
"Forest Policy and Economics",0,1,0
"Forests",0,1,0
"Freshwater Science",1,0,0
"Frontiers in Agronomy",0,1,0
"Frontiers in Artificial Intelligence",0,1,0
"Frontiers in Bioengineering and Biotechnology",0,1,0
"Frontiers in Climate",1,1,1
"Frontiers in Earth Science",0,1,0
"Frontiers in Ecology and Evolution",0,1,0
"Frontiers in Energy Research",0,1,0
"Frontiers in Environmental Economics",0,1,0
"Frontiers in Environmental Science",0,1,1
"Frontiers in Forests and Global Change",0,1,0
"Frontiers in Marine Science",0,1,0
"Frontiers in Nutrition",0,1,0
"Frontiers in Plant Science",1,0,1
"Frontiers in Sustainable Food Systems",1,1,1
"Frontiers in Veterinary Science",0,1,0
"Frontiers in Water",0,1,0
"GCB Bioenergy",0,1,1
"Gender Place & Culture",0,1,0
"Genetic Resources and Crop Evolution",0,1,0
