"journal_title","scopus_yes","oa_yes","dim_yes"
"AATCC Journal of Research",1,0,0
"ACS Agricultural Science & Technology",0,1,0
"ACS Agricultural Science and Technology",1,0,1
"ACS ES&T Engineering",0,0,1
"ACS ES&T Water",0,0,1
"ACS Earth and Space Chemistry",1,0,0
"ACS Omega",1,0,1
"ACS Sustainable Chemistry and Engineering",1,0,1
"AGU Advances",0,0,1
"AIMS Agriculture and Food",1,1,0
"AJP Gastrointestinal and Liver Physiology",0,0,1
"AMBIO",0,1,0
"Abstracts with programs - Geological Society of America",0,1,0
"Acta Agrestia Sinica",1,0,0
"Acta Horticulturae",1,0,0
"Acta Scientiarum - Technology",1,0,0
"Acta Scientiarum Polonorum Hortorum Cultus",1,0,0
"Acta Scientiarum Polonorum Zootechnica",0,1,0
"Acta Tropica",1,0,0
"Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis",1,0,0
"Advanced Sustainable Systems",1,1,1
"Advances in Mechanical Engineering",1,0,0
"Advances in Water Resources",1,1,1
"Aestimum",1,1,0
"African Geographical Review",1,0,0
"African Journal of Food Agriculture Nutrition and Development",1,0,0
"African Journal of Range and Forage Science",1,0,0
"AgriEngineering",1,0,1
"Agribusiness",1,1,1
"Agricultural Economics",0,1,1
"Agricultural Economics (Czech Republic)",1,0,0
"Agricultural Economics (United Kingdom)",1,0,1
"Agricultural Economics (Zemdlsk ekonomika)",0,1,0
"Agricultural Finance Review",1,1,1
"Agricultural History",1,0,0
"Agricultural Sciences",0,0,1
"Agricultural Systems",1,1,1
"Agricultural Water Management",1,1,1
"Agricultural and Environmental Letters",1,0,1
"Agricultural and Food Economics",1,1,0
"Agricultural and Forest Entomology",1,0,0
"Agricultural and Forest Meteorology",1,1,1
"Agricultural and Resource Economics Review",1,1,1
"Agriculture",0,1,1
"Agriculture & Food Security",0,1,0
"Agriculture (Switzerland)",1,0,1
"Agriculture Ecosystems & Environment",0,1,1
"Agriculture Ecosystems and Environment",1,0,1
"Agriculture and Food Security",1,0,1
"Agriculture and Human Values",1,1,1
"Agroecology and Sustainable Food Systems",1,1,1
"Agroforestry Systems",1,1,1
"Agronoma Colombiana",0,1,0
"Agronomy",1,1,1
"Agronomy Journal",1,0,1
"Agronomy Science",0,1,0
"Agronomy for Sustainable Development",1,0,1
"Agrosystems Geosciences & Environment",0,0,1
"Agrosystems Geosciences and Environment",1,0,1
"Air Quality Atmosphere and Health",1,0,0
"Allergology International",1,0,0
"Ambio",1,0,1
"American Anthropologist",1,0,0
"American Association of Bovine Practitioners Conference Proceedings",0,1,0
"American Economic Journal Applied Economics",0,1,0
"American Economic Review",1,0,0
"American Entomologist",1,0,0
"American Journal of Agricultural Economics",1,1,1
"American Journal of Economics and Sociology",1,0,0
"American Journal of Epidemiology and Infectious Disease",0,1,0
"American Journal of Human Biology",0,0,1
"American Journal of Industrial Medicine",1,1,1
"American Journal of Kidney Diseases",0,0,1
"American Journal of Plant Sciences",0,0,1
"American Journal of Public Health",0,1,0
"American Journal of Veterinary Research",1,0,0
"American Midland Naturalist",1,0,0
"American Political Science Review",1,0,1
"American Surgeon",1,0,0
"Anais da Academia Brasileira de Cincias",0,1,0
"Animal",1,0,0
"Animal Bioscience",0,0,1
"Animal Biotelemetry",1,0,0
"Animal Frontiers",0,0,1
"Animal Genetics",0,0,1
"Animal Health Research Reviews",0,0,1
"Animal Production Science",1,0,0
"Animal Science Journal",1,0,0
"Animal nutrition",0,1,0
"Animals",1,1,1
"Annals of Agricultural and Environmental Medicine",0,1,1
"Annals of Applied Biology",1,1,0
"Annals of Botany",0,0,1
"Annals of GIS",0,0,1
"Annals of Work Exposures and Health",1,0,0
"Annals of the American Association of Geographers",1,0,1
"Annals of the Entomological Society of America",1,0,1
"Annals of the New York Academy of Sciences",1,0,0
"Annals of the Polish Association of Agricultural and Agribusiness Economists",0,1,0
"Annual Review of Environment and Resources",0,1,0
"Annual Review of Phytopathology",0,0,1
"Annual Review of Resource Economics",1,0,1
"Antarctica A Keystone in a Changing World",0,1,0
"Anthropocene",0,0,1
"Anthropology of Work Review",1,0,1
"Antibiotics",1,0,1
"Antioxidants",1,0,0
"Antipode",1,0,1
"Apidologie",1,0,0
"Applied Animal Behaviour Science",1,0,1
"Applied Animal Science",1,1,1
"Applied Computational Electromagnetics Society Journal",1,0,0
"Applied Ecology and Environmental Research",1,0,0
"Applied Economic Perspectives and Policy",1,1,1
"Applied Economics",1,0,0
"Applied Energy",0,0,1
"Applied Engineering in Agriculture",1,1,1
"Applied Ergonomics",1,0,0
"Applied Geochemistry",1,0,1
"Applied Geography",1,1,1
"Applied Microbiology and Biotechnology",0,0,1
"Applied Sciences",0,0,1
"Applied Sciences (Switzerland)",1,0,1
"Applied Soil Ecology",1,0,1
"Applied Spatial Analysis and Policy",1,0,0
"Applied Water Science",1,0,1
"Applied and Environmental Microbiology",1,0,1
"Applied and Environmental Soil Science",1,0,1
"Aquacultural Engineering",0,0,1
"Aquaculture",1,1,1
"Aquaculture Economics & Management",0,1,1
"Aquaculture Economics and Management",1,0,1
"Aquaculture Environment Interactions",1,0,0
"Aquaculture Fish and Fisheries",0,0,1
"Aquaculture International",1,0,1
"Aquaculture Nutrition",1,0,1
"Aquaculture Reports",1,0,1
"Aquaculture Research",1,0,1
"Aquatic Ecology",0,1,0
"Aquatic Ecosystem Health & Management",0,0,1
"Aquatic Sciences",1,0,1
"Arab Geographical Journal",1,0,0
"Archives Animal Breeding",1,0,0
"Arctic",1,0,0
"Arctic Antarctic and Alpine Research",1,0,0
"Asia and the Pacific Policy Studies",1,0,0
"Asia-Pacific Economic History Review",1,0,0
"Asian Development Review",1,0,0
"Asian Geographer",1,0,0
"Asian Journal of Agriculture and Rural Development",0,1,0
"Asian Journal of Social Science",1,0,0
