"journal_title","scopus_yes","oa_yes","dim_yes"
"Academic Pediatrics",1,0,0
"Ad Hoc Networks",0,1,0
"Advances in Nutrition",0,0,1
"Agribusiness",0,1,0
"Agricultural & Environmental Letters",0,1,0
"Agricultural Economics",0,1,1
"Agricultural Finance Review",0,1,0
"Agricultural Research & Technology Open Access Journal",0,1,0
"Agricultural Systems",0,1,0
"Agricultural and Food Economics",0,1,0
"Agricultural and Resource Economics Review",0,1,0
"Agriculture and Food Security",1,0,0
"Agriculture and Human Values",0,1,0
"Agris on-line Papers in Economics and Informatics",0,1,0
"Agroecology and Sustainable Food Systems",0,1,0
"Agronomy",0,1,0
"Agronomy Journal",0,1,0
"American Indian and Alaska Native Mental Health Research",0,1,0
"American Journal of Agricultural Economics",0,1,1
"American Journal of Economics and Sociology",0,1,0
"American Journal of Health Behavior",1,0,1
"American Journal of Preventive Medicine",0,1,1
"American Journal of Public Health",1,1,1
"Annals of Epidemiology",1,1,1
"Annals of Global Health",1,0,0
"Annual Review of Nutrition",0,0,1
"Annual Review of Resource Economics",0,1,1
"Appetite",1,0,1
"Applied Animal Science",0,1,0
"Applied Economic Perspectives and Policy",1,1,1
"Applied Economics",0,1,0
"Applied Economics and Finance",0,1,0
"Archives of Public Health",1,1,0
"Autism",0,1,0
"BMC Geriatrics",0,0,1
"BMC Public Health",1,1,1
"BMJ Open",0,0,1
"Biofuels",0,1,0
"British Food Journal",1,0,0
"Brookings Papers on Economic Activity",0,1,0
"Canadian Journal of Agricultural Economics/Revue canadienne d agroeconomie",0,1,0
"Child Development",1,0,0
"Child Indicators Research",0,0,1
"Children and Youth Services Review",1,0,0
"Circulation Research",0,0,1
"Circulation: Cardiovascular Quality and Outcomes",1,0,0
"Cities",0,1,1
"Computational Statistics & Data Analysis",0,1,0
"Computers and Electronics in Agriculture",0,1,0
"Contemporary Clinical Trials",0,0,1
"Cureus",0,0,1
"Current Developments in Nutrition",0,0,1
"Current Opinion in Pediatrics",0,1,1
"Development and Psychopathology",0,0,1
"Diabetes Care",0,0,1
"Disability and Health Journal",1,0,0
"Disability and health journal",0,1,0
"Disaster Medicine and Public Health Preparedness",0,1,0
"Ecological Economics",0,1,0
"Ecological Modelling",0,1,0
"Ecology and Society",1,1,0
"Ecology of Food and Nutrition",1,0,0
"Economics & Sociology",0,1,0
"Economics Letters",0,0,1
"Educational and Psychological Measurement",1,0,1
"Environmental Engineering Science",0,1,0
"Environmental Health Perspectives",0,0,1
"Environmental Research Letters",0,1,0
"Environmental Science & Policy",0,1,0
"European Economic Review",0,0,1
"European Review of Agricultural Economics",0,1,0
"Family & Community Health",0,0,1
"Fiscal Studies",1,0,0
"Food Policy",1,1,1
"Food Security",1,1,1
"Food and Nutrition Bulletin",0,1,0
"Forests",0,1,1
"Frontiers in Ecology and Evolution",0,1,0
"Frontiers in Environmental Science",0,1,0
"Frontiers in Public Health",0,1,1
"Frontiers in Sociology",0,1,1
"Frontiers in Sustainable Food Systems",0,1,0
"GCB Bioenergy",0,1,0
"Harvard data science review",0,1,0
"Health Affairs",0,1,1
"Health Behavior and Policy Review",1,0,0
"Health Education Research",0,1,1
"Health Promotion Practice",0,0,1
"Healthcare (Switzerland)",1,0,0
"Heliyon",1,0,0
"Industrial and Systems Engineering Review",0,1,0
"International Journal of Agriculture and Natural Resources",0,1,0
"International Journal of Development Issues",1,0,1
"International Journal of Environmental Research and Public Health",1,1,1
"International Regional Science Review",0,1,0
"JAMA Health Forum",0,0,1
"JAMA Internal Medicine",0,1,0
"JAMA Network Open",0,1,0
"JMIR Public Health and Surveillance",0,1,0
"Journal of Aging and Health",0,1,0
"Journal of Agricultural & Food Industrial Organization",0,1,0
"Journal of Agricultural Economics",0,1,0
"Journal of Agricultural Extension and Rural Development",0,1,0
"Journal of Agricultural and Applied Economics",0,1,0
"Journal of Agriculture Food Systems and Community Development",1,1,1
"Journal of Allergy and Clinical Immunology",0,0,1
"Journal of Appalachian health",0,0,1
"Journal of Applied Farm Economics",0,1,0
"Journal of Applied Gerontology",0,1,0
"Journal of Christian Nursing",0,0,1
"Journal of Classification",1,0,1
"Journal of Community Health",0,0,1
"Journal of Dairy Science",0,1,0
"Journal of Economic and Social Measurement",1,0,1
"Journal of Economics Race and Policy",0,1,0
"Journal of Environmental Economics and Policy",0,1,0
"Journal of Epidemiology and Global Health",1,1,0
"Journal of Extension",0,1,0
"Journal of Family Issues",1,0,0
"Journal of Family and Economic Issues",0,0,1
"Journal of General Internal Medicine",1,1,1
"Journal of Health Economics",1,0,1
"Journal of Hunger & Environmental Nutrition",0,1,1
"Journal of Hunger and Environmental Nutrition",1,0,1
"Journal of Nutrition",1,0,1
"Journal of Nutrition Education and Behavior",1,1,1
"Journal of Nutritional Science",1,1,1
"Journal of Official Statistics",0,1,0
"Journal of Parenteral and Enteral Nutrition",0,0,1
"Journal of Policy Analysis and Management",1,0,1
"Journal of Policy Modeling",0,0,1
"Journal of Public Affairs",0,0,1
"Journal of Racial and Ethnic Health Disparities",0,1,1
"Journal of Rural Studies",1,0,1
"Journal of Soil and Water Conservation",0,1,0
"Journal of Student Research",0,1,0
"Journal of the Academy of Nutrition and Dietetics",1,0,1
"Journal of the National Cancer Institute",0,0,1
"Land Economics",0,1,0
"Land Use Policy",0,1,0
"MMWR Morbidity and Mortality Weekly Report",0,0,1
"Measurement: Journal of the International Measurement Confederation",1,0,0
"Nature Sustainability",0,1,0
"Neuroimage: Reports",1,0,1
"New Directions for Child and Adolescent Development",0,1,0
"Nutrients",1,0,1
"Nutrition Metabolism and Cardiovascular Diseases",0,0,1
"Nutrition Today",0,1,0
"Nutrition and Health",0,0,1
"PLOS ONE",0,0,1
"Path of Science",0,1,0
"Pediatric Clinics of North America",0,0,1
"Pediatric Obesity",0,0,1
"Pediatrics",1,0,1
"Pest Management Science",0,1,0
"Physiology and Behavior",1,0,1
"Phytopathology",0,1,0
"Population Health Management",0,1,1
"Precision Agriculture",0,1,0
"Preventing Chronic Disease",0,1,1
"Prevention Science",0,0,1
"Preventive Medicine",0,1,1
"Proceeding Papers",0,1,0
"Proceedings of The International Conference on Data Science and Official Statistics",0,1,0
"Proceedings of the National Academy of Sciences of the United States of America",1,0,0
"Professional Geographer",1,0,0
"Public Health Nutrition",1,1,1
"Public Health Reports",0,1,0
"RSF The Russell Sage Foundation Journal of the Social Sciences",0,1,0
"Remote Sensing",0,1,0
"Renewable Agriculture and Food Systems",0,1,0
"Research in Applied Economics",0,1,0
"Review of Agricultural Food and Environmental Studies",0,1,0
"Review of Economics of the Household",0,1,1
"Review of International Political Economy",0,1,0
"SSRN Electronic Journal",0,1,0
"Scientific Data",0,1,0
"Scientific Reports",0,1,0
"Social Forces",0,0,1
"Social Science & Medicine",0,1,0
"Social Sciences",0,0,1
"Society and Mental Health",0,0,1
"Southern Medical Journal",1,0,0
"Sustainability",0,1,1
"The Annals of the American Academy of Political and Social Science",0,1,0
"The B E Journal of Economic Analysis & Policy",0,1,1
"The Developing Economies",0,1,0
"The Federal Reserve Bank of Kansas City Economic Review",0,1,0
"The International Food and Agribusiness Management Review",0,1,0
"The Permanente Journal",0,1,0
"The Professional Animal Scientist",0,1,0
"The journal of cotton science/Journal of cotton science",0,1,0
"Theoretical Economics Letters",0,1,0
"Translational Behavioral Medicine",0,0,1
"Water Research",0,1,0
