"journal_title","scopus_yes","oa_yes","dim_yes"
"Advances in Nutrition",0,0,1
"Agribusiness",0,1,0
"Agricultural Economics",0,1,0
"Agricultural Finance Review",1,0,1
"Agricultural Systems",0,1,0
"Agricultural and Resource Economics Review",1,1,0
"Agriculture and Human Values",1,0,1
"American Journal of Agricultural Economics",0,1,0
"Annual Review of Resource Economics",0,1,0
"Applied Economic Perspectives and Policy",0,1,0
"California Agriculture",1,0,0
"Community Development",0,0,1
"Crops & Soils",0,0,1
"EDIS",0,1,0
"Energy Research & Social Science",0,0,1
"Energy Research and Social Science",1,0,1
"Environmental Science and Technology",1,0,1
"European Journal of Contemporary Education",1,0,0
"Feminist Economics",0,0,1
"Food Policy",1,0,1
"Health Behavior and Policy Review",1,0,0
"Health Economics",0,1,0
"Health Education Journal",1,0,1
"Health Promotion Practice",1,0,0
"HortTechnology",1,0,0
"International Journal of Environmental Research and Public Health",1,0,1
"Journal of Agriculture Food Systems and Community Development",1,0,1
"Journal of Consumer Policy",0,1,0
"Journal of Foodservice Business Research",1,0,0
"Journal of Human Sciences and Extension",0,1,0
"Journal of Hunger & Environmental Nutrition",0,1,0
"Journal of Hunger and Environmental Nutrition",1,0,0
"Journal of Nutrition Education and Behavior",1,1,1
"Journal of Ocean and Coastal Economics",0,1,0
"Journal of School Health",1,0,1
"Journal of School Nursing",1,0,0
"Journal of the Academy of Nutrition and Dietetics",1,0,0
"Marine Policy",1,0,0
"Nutrients",1,0,1
"PLoS ONE",0,1,0
"Public Library Quarterly",1,0,0
"Renewable Agriculture and Food Systems",1,1,1
"Sustainability (Switzerland)",1,0,0
"The Journal of School Nursing",0,0,1
"Trends in Food Science & Technology",0,1,0
