"journal_title","scopus_yes","oa_yes","dim_yes"
"ACM Transactions on Computer-Human Interaction",1,0,1
"AIDS Care - Psychological and Socio-Medical Aspects of AIDS/HIV",1,0,0
"Academic Pediatrics",1,1,0
"Advances in Hospitality and Tourism Research",1,0,0
"Advances in Hospitality and Tourism Research (AHTR)",0,1,0
"Advances in Nutrition",1,0,1
"Agricultural Economics",0,1,0
"Agricultural Economics (United Kingdom)",1,0,1
"Agriculture and Human Values",1,1,1
"American Behavioral Scientist",1,0,1
"American Heart Journal Plus: Cardiology Research and Practice",1,0,0
"American Journal of Agricultural Economics",1,1,1
"American Journal of Cardiology",1,0,1
"American Journal of Clinical Nutrition",1,0,1
"American Journal of Community Psychology",1,0,1
"American Journal of Epidemiology",0,1,0
"American Journal of Health Behavior",1,0,1
"American Journal of Health Promotion",1,0,0
"American Journal of Managed Care",1,0,0
"American Journal of Medical Quality",1,0,0
"American Journal of Obstetrics & Gynecology MFM",0,1,1
"American Journal of Obstetrics and Gynecology",1,1,1
"American Journal of Perinatology",1,1,1
"American Journal of Preventive Medicine",1,1,1
"American Journal of Public Health",1,1,1
"American Surgeon",1,0,1
"Animals",0,1,0
"Annals of Epidemiology",1,0,1
"Annals of Surgical Oncology",1,1,1
"Annals of Vascular Surgery",1,0,0
"Annals of the American Association of Geographers",1,0,1
"Annual Review of Resource Economics",0,1,1
"Antipode",1,0,1
"Appetite",1,1,1
"Applied Economic Perspectives and Policy",1,0,1
"Applied Geography",1,1,1
"Applied Spatial Analysis and Policy",1,1,1
"Architecture_MPS",0,1,0
"Archives of Dermatological Research",0,0,1
"ArtGRID - Journal of Architecture Engineering and Fine Arts",0,1,0
"B.E. Journal of Economic Analysis and Policy",1,0,1
"BMC Geriatrics",0,1,1
"BMC Pregnancy and Childbirth",0,1,1
"BMC Public Health",1,1,1
"BMC Pulmonary Medicine",0,1,1
"BMJ Open",1,1,1
"Binghamton University Undergraduate Journal",0,1,0
"BioMedical Engineering OnLine",0,1,0
"BioMedical Engineering Online",1,0,1
"Birth Defects Research",0,0,1
"Bone and Joint Journal",1,0,0
"Built Environment",1,0,0
"CA Cancer Journal for Clinicians",1,0,1
"Can J Public Health",0,1,0
"Canadian Geographer",1,0,0
"Canadian Journal of Diabetes",0,1,0
"Canadian Journal of Public Health",1,0,0
"Cancer",0,0,1
"Cancer Epidemiology Biomarkers & Prevention",0,1,0
"Cancer Research",0,1,0
"Child Abuse and Neglect",1,0,1
"Child and Youth Care Forum",1,0,0
"Childhood Obesity",1,1,1
"Children and Youth Services Review",1,0,0
"Chronic Obstructive Pulmonary Diseases Journal of the COPD Foundation",0,1,0
"Circulation",0,1,0
"Circulation Cardiovascular Quality and Outcomes",0,1,1
"Circulation: Cardiovascular Quality and Outcomes",1,0,0
"Cities",0,0,1
"Clinical Obesity",0,1,1
"Clinical Pediatrics",1,0,1
"Clinical Psychological Science",0,1,0
"Collaborations A Journal of Community-Based Research and Practice",0,1,0
"Communication Monographs",1,0,0
"Communications Medicine",0,0,1
"Community Development",1,1,1
"Community Mental Health Journal",1,0,0
"Computer Methods and Programs in Biomedicine",1,0,1
"Contemporary Clinical Trials",1,1,0
"Critical Public Health",0,1,0
"Critical Reviews in Environmental Science and Technology",0,1,1
"Culture Agriculture Food and Environment",1,1,0
"Cureus",0,0,1
"Current Atherosclerosis Reports",0,0,1
"Current Developments in Nutrition",1,1,1
"Current Diabetes Reports",0,0,1
"Current Obstetrics and Gynecology Reports",0,1,0
"Current Research in Food Science",1,1,1
"Data in Brief",0,1,1
"Delaware Journal of Public Health",1,1,0
"Diabetes",0,1,0
"Diabetes Care",0,1,1
"Discover Food",1,1,1
"EDIS",0,1,0
"Eating Behaviors",1,0,1
"Ecology of Food and Nutrition",1,0,0
"Environment International",0,0,1
"Environment and Planning A",1,0,0
"Environment and Planning A Economy and Space",0,1,1
"Environment and Planning B: Urban Analytics and City Science",1,0,0
"Environmental Advances",0,0,1
"Environmental Geochemistry and Health",1,0,0
"Environmental Justice",0,0,1
"Environmental Research",0,0,1
"Environmental Science and Policy",1,0,1
"Environmental Sociology",1,0,1
"Environmental Toxicology and Pharmacology",0,0,1
"Ethnic and Racial Studies",0,1,0
"Ethnicity and Health",1,1,1
"Evaluation Review",1,0,0
"Evaluation and Program Planning",1,0,1
"Exposome",0,1,1
"Family & Community Health",0,0,1
"Family and Community Health",1,0,0
"Food Culture and Society",1,0,0
"Food Policy",1,1,1
"Food Research International",0,1,1
"Food Science & Nutrition",0,1,0
"Food Security",1,1,1
"Food and Foodways",1,1,0
"Frontiers in Clinical Diabetes and Healthcare",0,1,1
"Frontiers in Digital Health",1,0,1
"Frontiers in Neuroscience",0,0,1
"Frontiers in Nutrition",1,1,0
"Frontiers in Pharmacology",0,0,1
"Frontiers in Psychiatry",1,0,0
"Frontiers in Public Health",1,1,1
"GeoJournal",1,0,1
"Geographical Analysis",1,0,0
"Geographical Review",1,0,0
"Gerontologist",1,0,0
"Gynecologic Oncology",0,1,0
"Habitat International",1,0,0
"Hawaii Journal of Medicine & Public Health",0,0,1
"Health & Place",0,1,0
"Health Affairs",1,1,1
"Health Behavior and Policy Review",1,0,0
"Health Education Research",1,1,1
"Health Education and Behavior",1,0,1
"Health Equity",1,0,1
"Health Promotion Practice",1,0,1
"Health Services Research",0,1,1
"Health and Place",1,0,1
"Healthcare (Switzerland)",1,0,1
"HortTechnology",1,0,0
"Human Geography(United Kingdom)",1,0,1
"Humanities and Social Sciences Communications",0,0,1
"Humanity & Society",0,0,1
"Indiana Law Review",0,1,0
"Informatics for Health and Social Care",1,0,1
"Innovation in Aging",0,1,0
"International Journal of Applied Geospatial Research",1,0,1
"International Journal of Behavioral Nutrition and Physical Activity",1,1,1
"International Journal of Cancer",1,1,1
"International Journal of Community Well-Being",1,0,1
"International Journal of Community and Social Development",1,0,0
"International Journal of Environmental Research and Public Health",1,1,1
"International Journal of Geographical Information Science",1,1,1
"International Journal of Health Geographics",1,1,1
"JAMA Network Open",1,0,1
"JMIR Medical Informatics",0,0,1
"JMIR Public Health and Surveillance",1,1,1
"JOGN Nursing",0,1,0
"JOGNN - Journal of Obstetric Gynecologic and Neonatal Nursing",1,0,0
"Journal of Adolescent Health",1,0,1
"Journal of Agriculture Food Systems and Community Development",1,1,1
"Journal of Allergy and Clinical Immunology",0,0,1
"Journal of Allergy and Clinical Immunology: In Practice",1,0,1
"Journal of Architectural Education",0,1,0
"Journal of Arthroplasty",1,0,1
"Journal of Asthma",0,1,0
"Journal of Burn Care & Research",0,1,0
"Journal of Cardiac Failure",0,1,0
"Journal of Clinical and Translational Science",1,1,1
"Journal of Community Health",1,1,1
"Journal of Community Practice",1,0,0
"Journal of Community Psychology",1,0,0
"Journal of Econometrics",0,1,1
"Journal of Economic Behavior and Organization",1,0,0
"Journal of Environmental Studies and Sciences",1,0,1
"Journal of Evaluation in Clinical Practice",1,0,0
"Journal of Food Protection",1,0,0
"Journal of General Internal Medicine",1,1,1
"Journal of Geovisualization and Spatial Analysis",1,0,1
"Journal of Gerontological Social Work",0,0,1
"Journal of Health Care for the Poor and Underserved",1,1,0
"Journal of Health Population and Nutrition",0,1,1
"Journal of Honai Math",0,1,0
"Journal of Hospital Medicine",0,1,0
"Journal of Humanitarian Logistics and Supply Chain Management",1,0,0
"Journal of Hunger & Environmental Nutrition",0,0,1
"Journal of Hunger and Environmental Nutrition",1,0,1
"Journal of Mathematical Behavior",1,0,1
"Journal of Medical Systems",1,0,1
"Journal of Nutrition",1,0,1
"Journal of Nutrition Education and Behavior",1,1,1
"Journal of Nutrition Health and Aging",1,0,0
"Journal of Nutrition in Gerontology and Geriatrics",1,0,1
"Journal of Pediatric Orthopaedics",1,0,0
"Journal of Pediatric Surgery",1,0,1
"Journal of Pediatrics",1,0,1
"Journal of Planning Education and Research",1,1,0
"Journal of Planning Literature",1,0,1
"Journal of Poverty",1,0,1
"Journal of Primary Care and Community Health",1,0,1
"Journal of Public Affairs",1,1,1
"Journal of Public Health",0,1,0
"Journal of Public Health (Germany)",1,0,0
"Journal of Racial and Ethnic Health Disparities",1,1,1
"Journal of School Health",1,0,1
"Journal of Thoracic Disease",0,1,1
"Journal of Transport & Health",0,1,1
"Journal of Transport and Health",1,0,1
"Journal of Trauma and Acute Care Surgery",0,0,1
"Journal of Urban Health",1,1,1
"Journal of Urban Planning and Development",1,0,1
"Journal of Urbanism",1,0,0
"Journal of the Academy of Nutrition and Dietetics",1,1,1
"Journal of the American Board of Family Medicine",1,0,0
"Journal of the American College of Radiology",1,0,1
"Journal of the American Geriatrics Society",0,0,1
