"journal_title","scopus_yes","oa_yes","dim_yes"
"ACM Transactions on Computing for Healthcare",1,0,0
"AIDS Care",0,0,1
"AIDS Care - Psychological and Socio-Medical Aspects of AIDS/HIV",1,0,0
"AIDS Patient Care and STDs",1,1,1
"AIDS Research and Human Retroviruses",1,1,0
"AIDS and Behavior",1,1,1
"AJPM Focus",0,0,1
"Academic Emergency Medicine",0,0,1
"Academic Pediatrics",1,1,1
"Activities Adaptation and Aging",1,0,0
"Addiction",1,0,1
"Advances in Nutrition",1,0,1
"Advances in Social Work",1,0,0
"Adyaman niversitesi Salk Bilimleri Dergisi",0,1,0
"African Journal of Food Agriculture Nutrition and Development",1,1,0
"Ageing International",1,0,0
"Ageing and Society",0,0,1
"Aging & Mental Health",0,0,1
"Aging and Mental Health",1,0,0
"Agribusiness",1,0,0
"Agriculture and Food Security",1,0,1
"Agriculture and Human Values",1,1,1
"Alcohol",0,1,0
"AlterNative An International Journal of Indigenous Peoples",0,1,0
"American Journal of Agricultural Economics",0,0,1
"American Journal of Clinical Nutrition",1,1,1
"American Journal of Epidemiology",1,1,0
"American Journal of Gastroenterology",1,0,0
"American Journal of Geriatric Psychiatry",1,0,0
"American Journal of Health Behavior",1,0,1
"American Journal of Health Education",1,0,0
"American Journal of Health Promotion",1,1,1
"American Journal of Human Biology",1,0,1
"American Journal of Nursing",1,0,0
"American Journal of Obstetrics & Gynecology MFM",0,0,1
"American Journal of Obstetrics and Gynecology",1,0,1
"American Journal of Ophthalmology",1,0,1
"American Journal of Perinatology",1,0,1
"American Journal of Perinatology Reports",0,0,1
"American Journal of Preventive Medicine",1,0,1
"American Journal of Public Health",1,1,1
"American Journal of Tropical Medicine and Hygiene",1,0,0
"American Journal of Undergraduate Research",0,1,0
"American Surgeon",1,0,0
"Annals of Epidemiology",1,1,1
"Annals of Family Medicine",1,0,1
"Annual Review of Anthropology",1,0,0
"Annual Review of Nutrition",0,0,1
"Anthropology and Aging",1,0,0
"Appetite",1,1,1
"Applied Economic Perspectives and Policy",1,1,1
"Applied Psychology: Health and Well-Being",1,0,1
"Archives of Gerontology and Geriatrics",1,0,0
"Asia Pacific Journal of Social Work and Development",1,0,0
"BMC Endocrine Disorders",1,1,1
"BMC Geriatrics",1,0,0
"BMC Infectious Diseases",1,1,1
"BMC Nutrition",1,1,1
"BMC Obesity",1,1,1
"BMC Pediatrics",1,1,0
"BMC Primary Care",1,0,0
"BMC Public Health",1,1,1
"BMC Rheumatology",1,1,1
"BMJ Nutrition Prevention & Health",0,1,0
"BMJ Nutrition Prevention and Health",1,0,1
"BMJ Open",1,1,1
"BMJ Open Diabetes Research and Care",1,0,0
"Behavioral Sleep Medicine",1,0,0
"Behavioural Processes",1,0,0
"Biomdica",0,0,1
"Biomedica",1,0,1
"Biometrics",1,0,1
"British Food Journal",0,1,0
"British Journal Of Nutrition",0,1,1
"British Journal of Health Psychology",1,0,0
"British Journal of Nutrition",1,0,0
"Bulletin of Geography Socio-economic series",0,1,0
"California Agriculture",1,0,0
"Can J Public Health",0,1,0
"Canadian Journal of Agricultural Economics",1,0,1
"Canadian Journal of Diabetes",1,0,0
"Canadian Journal of Dietetic Practice and Research",1,0,0
"Canadian Journal of Psychiatry",1,0,0
"Canadian Journal of Public Health",1,0,1
"Canadian Medical Association Journal",0,1,0
"Canadian Public Policy",1,0,1
"Cancer",0,0,1
"Cancer Causes & Control",0,1,0
"Cancer Causes and Control",1,0,1
"Cancer Epidemiology Biomarkers and Prevention",1,0,0
"Challenges",0,0,1
"Chemosphere",1,0,1
"Child and Adolescent Social Work Journal",1,1,1
"Childhood Obesity",1,1,1
"Children",1,0,1
"Children and Youth Services Review",1,0,0
"Children's Health Care",1,0,0
"Chronobiology International",1,0,1
"Ciencia e Saude Coletiva",1,0,0
"Cincia & Sade Coletiva",0,1,0
"Circulation Research",0,0,1
"Clinical Infectious Diseases",0,1,1
"Clinical Nutrition",1,0,0
"Clinical Obesity",1,0,1
"Clinical Pediatrics",1,1,0
"Clinical Psychological Science",1,0,0
"Community College Journal of Research and Practice",0,0,1
"Community Dentistry and Oral Epidemiology",1,0,0
"Community Development",0,1,0
"Community Mental Health Journal",0,0,1
"Contemporary Clinical Trials",1,1,1
"Criminal Justice and Behavior",0,0,1
"Cultural Diversity and Ethnic Minority Psychology",1,0,0
"Culture Agriculture Food and Environment",1,0,0
"Current Atherosclerosis Reports",0,0,1
"Current Cardiovascular Risk Reports",0,0,1
"Current Developments in Nutrition",1,1,1
"Current Nutrition Reports",0,0,1
"Current Opinion in Pediatrics",0,1,0
"Depression and Anxiety",1,0,0
"Development and Psychopathology",1,1,0
"Developmental Psychobiology",1,0,1
"Diabetes Educator",1,0,0
"Diabetes Research and Clinical Practice",1,1,1
"Diabetes Spectrum",1,0,1
"Disability and Health Journal",1,0,1
"Disaster Medicine and Public Health Preparedness",0,1,0
"Drug and Alcohol Dependence",1,1,1
"Eating Behaviors",1,0,1
"Eating and Weight Disorders",1,0,1
"Eating and Weight Disorders - Studies on Anorexia Bulimia and Obesity",0,1,1
"Ecology and Society",0,1,0
"Ecology of Food and Nutrition",1,0,1
"Educational Researcher",1,0,0
"Educational and Psychological Measurement",1,0,1
"Electronic Green Journal",0,1,0
"Energy Research & Social Science",0,0,1
"Energy Research and Social Science",1,0,1
"Environmental Health Perspectives",1,0,1
"Environmental Pollution",1,0,0
"Environmental Research",1,0,1
"Epidemiology and Infection",1,1,0
"Epidemiology and Psychiatric Sciences",1,1,1
"Ethnicity and Health",1,1,0
"European Journal of Clinical Nutrition",1,0,1
"European Journal of Nutrition",1,1,1
"European Journal of Oncology Nursing",0,0,1
"Evolution Medicine and Public Health",0,0,1
"Families in Society",1,0,0
"Family & Community Health",0,1,1
"Family Medicine",1,1,0
"Family Medicine and Community Health",1,0,0
"Family and Community Health",1,0,0
"Food & Nutrition Research",0,0,1
"Food Policy",1,0,1
"Food Security",1,1,1
"Food and Foodways",0,0,1
"Food and Nutrition Bulletin",1,1,1
"Food and Nutrition Research",1,0,1
"Foods",0,0,1
"Frontiers in Medicine",1,0,0
"Frontiers in Nutrition",1,1,1
"Frontiers in Pediatrics",1,1,1
"Frontiers in Public Health",1,1,1
"Frontiers in Sustainable Food Systems",1,1,1
"Gastroenterology",0,0,1
"Gender Issues",1,0,0
"GeoScape",0,1,0
"Geriatrics and Gerontology International",1,0,0
"Gerodontology",0,1,1
"Gerontologist",1,0,0
"Global Food Security",1,0,1
"Global Journal of Health Science",0,1,0
"HIV Medicine",1,0,1
"Health & Social Care in the Community",0,1,0
"Health Affairs",1,1,1
