"journal_title","scopus_yes","oa_yes","dim_yes"
"Agribusiness",1,1,1
"Agricultural Economics",0,1,1
"Agricultural Economics (United Kingdom)",1,0,1
"Agricultural and Resource Economics Review",0,1,0
"American Journal of Agricultural Economics",0,1,1
"American Journal of Clinical Nutrition",1,0,1
"American Journal of Preventive Medicine",1,0,1
"American Journal of Public Health",0,1,0
"Annals of the American Association of Geographers",0,0,1
"Annual Review of Resource Economics",0,1,1
"Applied Economic Perspectives and Policy",0,1,1
"Aquaculture Economics & Management",0,0,1
"Aquaculture Economics and Management",1,0,1
"Australian Journal of Agricultural and Resource Economics",0,0,1
"Brookings Papers on Economic Activity",0,1,0
"Child Indicators Research",0,1,0
"Ecology of Food and Nutrition",0,1,0
"Educational and Psychological Measurement",0,1,0
"Food Policy",1,1,1
"Food Science & Nutrition",0,1,0
"Food Security",0,1,0
"Frontiers in Nutrition",1,1,1
"GSC Biological and Pharmaceutical Sciences",0,1,0
"Health Economics (United Kingdom)",1,0,1
"Integrative Food Nutrition and Metabolism",0,1,0
"Italian Review of Agricultural Economics",1,0,0
"JMIR Public Health and Surveillance",0,1,0
"Journal of Agricultural and Resource Economics",1,0,0
"Journal of Agriculture Food Systems and Community Development",0,1,0
"Journal of Consumer Affairs",0,1,0
"Journal of Economic and Social Measurement",0,1,0
"Journal of Epidemiology and Global Health",0,1,0
"Journal of Food Composition and Analysis",1,1,1
"Journal of Hunger & Environmental Nutrition",0,1,1
"Journal of Nutrition Education and Behavior",0,1,0
"Journal of Nutritional Science",0,1,0
"Journal of Policy Analysis and Management",0,1,0
"Journal of Public Affairs",0,1,0
"Journal of Student Research",0,1,0
"Journal of the Academy of Nutrition and Dietetics",0,1,0
"MMWR Morbidity and Mortality Weekly Report",0,1,0
"Muma Case Review",0,1,0
"Nutrients",0,0,1
"PLOS ONE",0,0,1
"PLoS Medicine",1,1,1
"PLoS ONE",0,1,0
"Preventive Medicine Reports",0,0,1
"Public Health Nutrition",0,1,0
"Review of Economics of the Household",0,1,0
"SSRN Electronic Journal",0,1,0
"Social Indicators Research",0,1,0
"Social Service Review",0,1,0
"Sustainability",0,1,1
"The Pre-Collegiate Global Health Review",0,1,0
