"journal_title","scopus_yes","oa_yes","dim_yes"
"Ager",1,0,0
"Agribusiness",1,0,1
"Agricultural Economics (United Kingdom)",1,0,1
"Agricultural Finance Review",1,0,1
"Agricultural Systems",1,1,1
"Agriculture & Food Security",0,1,0
"Agriculture (Switzerland)",1,0,0
"Agriculture and Food Security",1,0,1
"Agriculture and Human Values",1,1,1
"Agroecology and Sustainable Food Systems",1,0,1
"American Behavioral Scientist",1,0,1
"Applied Economic Perspectives and Policy",1,0,0
"Aquaculture",1,1,1
"Australian Journal of Agricultural and Resource Economics",0,1,0
"British Food Journal",1,0,1
"Community Development",1,0,1
"Culture Agriculture Food and Environment",1,0,0
"EDIS",0,1,0
"Ecological Economics",1,0,1
"Environmental Science and Technology",1,0,1
"European Review of Agricultural Economics",0,1,0
"Food Policy",1,0,1
"Food Quality and Preference",1,0,0
"Food Studies",1,0,0
"Frontiers in Big Data",1,0,1
"Frontiers in Plant Science",0,0,1
"Frontiers in Sustainable Food Systems",0,1,1
"HortTechnology",1,0,1
"International Journal of Value Chain Management",1,0,0
"Journal of Advanced Research in Dynamical and Control Systems",1,0,0
"Journal of Agricultural Biological and Environmental Statistics",0,0,1
"Journal of Agricultural and Applied Economics",1,1,1
"Journal of Agriculture Food Systems and Community Development",1,0,1
"Journal of Agriculture and Food Research",1,0,0
"Journal of Applied Communications",0,1,0
"Journal of Economic Issues",1,0,0
"Journal of Financial Services Marketing",1,0,0
"Journal of Food Protection",1,0,1
"Journal of Food Safety",1,0,1
"Journal of Ocean and Coastal Economics",0,1,0
"Journal of Political Ecology",1,0,0
"Journal of Rural Studies",1,0,1
"Journal of Soil and Water Conservation",0,1,0
"Journal of Survey Statistics and Methodology",1,0,0
"Land Use Policy",1,0,1
"Local Environment",1,0,1
"Marine Resource Economics",1,0,0
"New England Journal of Entrepreneurship",1,0,1
"Nutrients",0,0,1
"Proceedings of the ACM on Human-Computer Interaction",1,0,1
"Public Health Nutrition",1,1,1
"Renewable Agriculture and Food Systems",1,1,1
"Revista de Gestao Social e Ambiental",1,0,0
"Rural Sociology",1,0,1
"Sustainability",0,1,1
"Sustainability (Switzerland)",1,0,1
"The AMA Journal of Ethic",0,1,0
"Trends in Food Science & Technology",0,1,0
