"journal_title","scopus_yes","oa_yes","dim_yes"
"ACM Transactions on Spatial Algorithms and Systems",1,0,1
"AIDS Education and Prevention",1,0,0
"AIDS and Behavior",1,0,1
"Academic Emergency Medicine",1,0,1
"Academic Pediatrics",1,0,1
"Accident Analysis & Prevention",0,0,1
"Accident Analysis and Prevention",1,0,1
"Accounting Organizations and Society",1,0,0
"Acta Dermato-Venereologica",1,0,0
"Activities Adaptation and Aging",1,0,0
"Addiction",1,1,1
"Addiction Science & Clinical Practice",0,1,0
"Addictive Behaviors",1,1,1
"Addictive Behaviors Reports",1,1,0
"Administration and Policy in Mental Health and Mental Health Services Research",0,0,1
"Administrative Sciences",0,0,1
"Advances in Radiation Oncology",0,0,1
"Aging and Mental Health",1,0,1
"Agribusiness",1,0,1
"Agricultural Economics",0,1,0
"Agricultural Finance Review",1,0,0
"Agricultural and Resource Economics Review",0,1,0
"Agriculture and Human Values",0,1,1
"Alcohol Clinical and Experimental Research",0,0,1
"Alcoholism: Clinical and Experimental Research",1,0,1
"Alzheimer Disease & Associated Disorders",0,0,1
"Alzheimer Disease and Associated Disorders",1,0,0
"Alzheimer's & Dementia Diagnosis Assessment & Disease Monitoring",0,0,1
"Alzheimer's and Dementia",1,0,0
"American Behavioral Scientist",1,0,0
"American Economic Review",0,1,0
"American Journal of Agricultural Economics",1,1,1
"American Journal of Audiology",1,0,1
"American Journal of Cardiology",1,0,0
"American Journal of Clinical Nutrition",0,1,0
"American Journal of Clinical Oncology",0,0,1
"American Journal of Clinical Oncology: Cancer Clinical Trials",1,0,0
"American Journal of Community Psychology",0,0,1
"American Journal of Criminal Justice",1,0,1
"American Journal of Drug and Alcohol Abuse",1,0,0
"American Journal of Emergency Medicine",1,0,1
"American Journal of Epidemiology",1,1,1
"American Journal of Geriatric Psychiatry",1,0,0
"American Journal of Health Behavior",0,0,1
"American Journal of Health Promotion",1,1,1
"American Journal of Industrial Medicine",0,1,0
"American Journal of Infection Control",1,0,1
"American Journal of Lifestyle Medicine",0,0,1
"American Journal of Managed Care",1,0,0
"American Journal of Obstetrics and Gynecology",1,1,1
"American Journal of Ophthalmology",1,0,1
"American Journal of Orthopsychiatry",1,0,1
"American Journal of Perinatology",1,0,0
"American Journal of Preventive Medicine",1,1,1
"American Journal of Public Health",1,1,1
"American Journal of Respiratory and Critical Care Medicine",1,0,0
"American Journal of Sociology",1,0,0
"American Journal of Speech-Language Pathology",1,0,1
