"journal_title","scopus_yes","oa_yes","dim_yes"
"AIDS and Behavior",0,1,0
"Academic Pediatrics",0,1,0
"Advances in Radiation Oncology",0,1,0
"Agribusiness",0,1,0
"Agricultural Finance Review",1,0,1
"Agricultural and Resource Economics Review",0,1,0
"Agriculture and Human Values",1,0,1
"Agronomy Journal",1,0,0
"Alzheimer s & Dementia Diagnosis Assessment & Disease Monitoring",0,1,0
"American Indian Culture and Research Journal",0,1,0
"American Journal of Agricultural Economics",0,1,1
"American Journal of Community Psychology",0,1,0
"American Journal of Health Behavior",0,1,0
"American Journal of Health Promotion",0,1,0
"American Journal of Public Health",0,1,0
"Annals of Allergy Asthma & Immunology",0,1,0
"Annals of Behavioral Medicine",0,1,0
"Annals of Otology Rhinology & Laryngology",0,1,0
"Applied Economic Perspectives and Policy",0,1,1
"Applied Network Science",0,1,0
"Applied Nursing Research",0,1,0
"Archives of Dermatological Research",0,1,0
"Archives of Suicide Research",0,1,0
"BMC Health Services Research",0,1,0
"BMC Musculoskeletal Disorders",0,1,0
"BMC Pregnancy and Childbirth",0,1,0
"BMC Psychiatry",0,1,0
"BMC Public Health",0,1,0
"BMJ Open",0,1,0
"Baylor University Medical Center Proceedings",0,1,0
"Blood",0,1,0
"Built Environment",0,1,0
"COVID",0,1,0
"Cancer",0,1,0
"Cancer Causes & Control",0,1,0
"Cancer Control",0,1,0
"Cancer Epidemiology",0,1,0
"Cancer Epidemiology Biomarkers & Prevention",0,1,0
"Cancer Investigation",0,1,0
"Cancer Medicine",0,1,0
"Cancer Reports",0,1,0
"Cancer Science",0,1,0
"Cancers",0,1,0
"Cardiology in the Young",0,1,0
"Child Abuse & Neglect",0,1,0
"Children",0,1,0
"Circulation",0,1,0
"Clinical Infectious Diseases",0,1,0
"Clinical Lymphoma Myeloma & Leukemia",0,1,0
"Cogent Social Sciences",0,1,0
"Community Development",0,1,0
"Computers Environment and Urban Systems",0,1,0
"Cureus",0,1,0
"Drug Healthcare and Patient Safety",0,1,0
"EPJ Data Science",0,1,0
"Earth s Future",0,1,0
"Earth system science data",0,1,0
"Eastern Economic Journal",0,1,0
"Economic Modelling",1,0,0
"Endocrine Connections",0,1,0
"Energy Economics",0,1,0
"Energy Policy",1,1,1
"Energy Research & Social Science",0,0,1
"Energy Research and Social Science",1,0,1
"Entrepreneurship and Regional Development",0,1,0
"Environmental Education Research",1,0,1
"Environmental Pollution",0,1,0
"Environmental Research",0,1,0
"Fertility and Sterility",0,1,0
"Food Policy",0,1,0
"Food Security",0,1,0
"Food Studies",1,0,0
"Frontiers in Aging Neuroscience",0,1,0
"Frontiers in Oncology",0,1,0
"Frontiers in Pharmacology",0,1,0
"Frontiers in Public Health",0,1,0
"Frontiers in Sociology",0,1,0
"Frontiers in Sustainable Cities",0,1,0
"Frontiers in Sustainable Food Systems",0,1,0
"GCB Bioenergy",1,0,1
"Gastroenterology",0,1,0
"GeoJournal",0,1,0
"Geospatial health",0,1,0
"Growth and Change",0,1,0
"Gynecologic Oncology",0,1,0
"Harm Reduction Journal",0,1,0
"Harvard data science review",0,1,0
"Head & Neck",0,1,0
"Health & Place",0,1,0
"Health Affairs Scholar",0,1,0
"Health Equity",0,1,0
"Health Services Research",0,1,0
"HortScience",0,1,0
"HortTechnology",0,1,0
"Hospital Pediatrics",0,1,0
"Humanities and Social Sciences Communications",0,1,0
"INNOVATIONS in pharmacy",0,1,0
"ISEE Conference Abstracts",0,1,0
"Industrial and Corporate Change",0,1,0
"Injury Epidemiology",0,1,0
"International Forum of Allergy & Rhinology",0,1,0
"International Journal of Behavioral Nutrition and Physical Activity",0,1,0
"International Journal of Drug Policy",0,1,0
"International Journal of Economics and Finance",0,1,0
"International Journal of Environmental Research and Public Health",0,1,0
"International Journal of Public Health",0,1,0
"JAMA",0,1,0
"JAMA Cardiology",0,1,0
"JAMA Dermatology",0,1,0
"JAMA Internal Medicine",0,1,0
"JAMA Network Open",0,1,0
"JAMA Pediatrics",0,1,0
"JAMA Surgery",0,1,0
"JCO Oncology Practice",0,1,0
"JDS Communications",0,1,0
"JMIR Cancer",0,1,0
"JMIR Public Health and Surveillance",0,1,0
"JNCI Cancer Spectrum",0,1,0
"JNCI Journal of the National Cancer Institute",0,1,0
"Journal of Addiction Medicine",0,1,0
"Journal of Agrarian Change",0,0,1
"Journal of Agricultural and Applied Economics",0,1,0
"Journal of Agriculture Food Systems and Community Development",0,1,0
"Journal of Applied Communications",0,1,0
"Journal of Applied Farm Economics",0,1,0
"Journal of Biomedical Research",0,1,0
"Journal of Brown Hospital Medicine",0,1,0
"Journal of Burn Care & Research",0,1,0
"Journal of Cancer",0,1,0
"Journal of Cancer Education",0,1,0
"Journal of Cancer Survivorship",0,1,0
"Journal of Clinical Oncology",0,1,0
"Journal of Community Health",0,1,0
"Journal of Developmental & Behavioral Pediatrics",0,1,0
"Journal of Economic Geography",0,1,0
"Journal of Entrepreneurship and Public Policy",0,1,0
"Journal of Environmental Management",0,0,1
"Journal of Environmental Psychology",0,1,0
"Journal of Extension",0,1,0
"Journal of Gastrointestinal Surgery",0,1,0
"Journal of Gerontological Social Work",0,1,0
"Journal of Health Care for the Poor and Underserved",0,1,0
"Journal of Hunger & Environmental Nutrition",0,1,0
"Journal of Medical Internet Research",0,1,0
"Journal of Medical Virology",0,1,0
"Journal of Neuro-Oncology",0,1,0
